# c0 + a0 * (ave:num_p_valence * ave:covalent_radius_pyykko) + a1 * (min:gs_est_fcc_latcnt * ave:period)
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 8.17309041879505; Max AE: 41.1737467081914
# Coefficients
# Task   a0                      a1                      c0
# all ,  2.975951623047268e-01,  6.689964230165012e+00, -7.962637990220054e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; pm;                                               46|9|mult; (ave:num_p_valence * ave:covalent_radius_pyykko); $\left(ave:num_{p, valence} ave:covalent_{radius, pyykko}\right)$; (ave:num_p_valence .* ave:covalent_radius_pyykko); ave:num_p_valence,ave:covalent_radius_pyykko
# 1;  1; AA;                                               257|49|mult; (min:gs_est_fcc_latcnt * ave:period); $\left(min:gs_{est, fcc, latcnt} ave:period\right)$; (min:gs_est_fcc_latcnt .* ave:period); min:gs_est_fcc_latcnt,ave:period
# Number of Samples Per Task
# Task, n_mats_train            
# all , 103                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
64          ,  9.806170819706537e+01,  9.292550893858686e+01,  3.210000000000000e+02,  1.151334134100000e+01
69          ,  7.310044637476960e+01,  7.895497617022386e+01,  2.892800000000000e+02,  1.083608596800000e+01
11          ,  1.617034912836585e+02,  1.608046618293613e+02,  4.153600000000001e+02,  1.746226304020000e+01
110         ,  1.562326241405194e+02,  1.524514846714590e+02,  3.996000000000000e+02,  1.691471491079999e+01
113         ,  7.050822380170608e+01,  7.975706725866750e+01,  3.072000000000000e+02,  1.015883059500000e+01
55          ,  1.465164071687489e+02,  1.540702725305371e+02,  4.031999999999999e+02,  1.699654573320000e+01
45          ,  6.922252251530169e+01,  8.040440886271266e+01,  3.246000000000000e+02,  9.481575222000000e+00
4           ,  7.851117738952721e+01,  8.136408113511301e+01,  3.126000000000000e+02,  1.015883059500000e+01
26          ,  5.966202570927710e+01,  6.017949669525814e+01,  2.462400000000000e+02,  9.944155386000000e+00
124         ,  1.885207260436857e+02,  1.872554974303214e+02,  4.338000000000000e+02,  2.059578963120000e+01
31          ,  8.459240483249847e+01,  8.577132123678123e+01,  2.969600000000000e+02,  1.151334134100000e+01
98          ,  1.892571838929967e+02,  1.939106373391250e+02,  4.726000000000000e+02,  1.986461197160000e+01
36          ,  1.804786609572536e+02,  1.834179980957685e+02,  4.576400000000000e+02,  1.896167506380000e+01
16          ,  1.473017585346737e+02,  1.437954974945323e+02,  3.858000000000000e+02,  1.623471517080000e+01
10          ,  1.071503545301096e+02,  1.013891153545333e+02,  3.494400000000000e+02,  1.151334134100000e+01
93          ,  1.586721939022781e+02,  1.561897392834105e+02,  4.270400000000000e+02,  1.625286434040000e+01
111         ,  9.534692245017716e+01,  9.078735982345979e+01,  3.290400000000000e+02,  1.083608596800000e+01
42          ,  1.922420330482679e+02,  1.977449486167787e+02,  4.470000000000000e+02,  2.157654151840000e+01
118         ,  5.345461156622450e+01,  5.045913702395667e+01,  2.284800000000000e+02,  9.281211693600000e+00
96          ,  9.458888504929534e+01,  9.561893196336320e+01,  3.355200000000000e+02,  1.127004277080000e+01
60          ,  6.700355961656858e+01,  6.289356457547726e+01,  2.553600000000000e+02,  9.944155386000000e+00
0           ,  1.324521624992106e+02,  1.282508670439899e+02,  3.726000000000000e+02,  1.449832706639999e+01
84          ,  1.874396857101914e+02,  1.861040100773660e+02,  4.576400000000000e+02,  1.936317376980000e+01
28          ,  9.362157646373184e+01,  9.172039278331752e+01,  3.474000000000000e+02,  1.015883059500000e+01
24          ,  9.809953691058023e+01,  9.899275943346969e+01,  3.617599999999999e+02,  1.060709907840000e+01
25          ,  1.397570909097410e+02,  1.454559547132664e+02,  3.942000000000000e+02,  1.610925229599999e+01
115         ,  1.348472579215662e+02,  1.361391824890968e+02,  3.810000000000000e+02,  1.530378968119999e+01
67          ,  1.178407975639319e+02,  1.161048917579909e+02,  3.714000000000000e+02,  1.273615604640000e+01
44          ,  1.408716465187509e+02,  1.383406992035878e+02,  3.984000000000000e+02,  1.485884872080000e+01
15          ,  1.304908476901080e+02,  1.158335365554133e+02,  3.756000000000000e+02,  1.250876247120000e+01
39          ,  6.690965549992833e+01,  6.575733170727781e+01,  2.500800000000000e+02,  1.060709907840000e+01
22          ,  8.942508557141944e+01,  8.729500846778144e+01,  3.020800000000000e+02,  1.151334134100000e+01
68          ,  1.728438327749059e+02,  1.490950706140658e+02,  4.032000000000000e+02,  1.625286434040000e+01
80          ,  1.635560662373134e+02,  1.696565723407355e+02,  4.211999999999999e+02,  1.852564014039999e+01
140         ,  9.231264108905833e+01,  9.064905019902048e+01,  3.438000000000000e+02,  1.015883059500000e+01
47          ,  5.673059181818780e+01,  5.775112017085157e+01,  2.380800000000000e+02,  9.944155386000000e+00
30          ,  1.575095787725395e+02,  1.438003888714947e+02,  3.984000000000000e+02,  1.567495019460000e+01
76          ,  6.221586353440775e+01,  6.576272687732012e+01,  2.754000000000000e+02,  9.481575222000000e+00
137         ,  2.091771198782973e+02,  1.893446552794751e+02,  4.492800000000000e+02,  2.021946246760000e+01
81          ,  6.779890223639997e+01,  7.272645367525071e+01,  2.988000000000000e+02,  9.481575222000000e+00
142         ,  6.217869364696995e+01,  6.590017738518408e+01,  2.505600000000000e+02,  1.060709907840000e+01
62          ,  1.284855607921225e+02,  1.382405709701574e+02,  3.876000000000000e+02,  1.532430704200000e+01
139         ,  7.773399964038569e+01,  7.461462285404183e+01,  2.899200000000000e+02,  1.015883059500000e+01
135         ,  8.871171279800387e+01,  8.189975242726155e+01,  3.144000000000000e+02,  1.015883059500000e+01
53          ,  1.912036606685361e+02,  1.981596297819713e+02,  4.582400000000000e+02,  2.113852894339999e+01
109         ,  1.156360400954843e+02,  1.168714315474043e+02,  3.862400000000000e+02,  1.219059671400000e+01
49          ,  7.517971112473752e+01,  7.692995577062635e+01,  2.727200000000000e+02,  1.127004277080000e+01
35          ,  1.142981641844795e+02,  1.115311584858784e+02,  3.835200000000000e+02,  1.151334134100000e+01
77          ,  1.735436897724758e+02,  2.147174364806672e+02,  5.244000000000000e+02,  2.067050114360000e+01
131         ,  7.332445965687805e+01,  8.326278082447094e+01,  2.940000000000000e+02,  1.127004277080000e+01
7           ,  6.154031610112789e+01,  5.975095966153933e+01,  2.448000000000000e+02,  9.944155386000000e+00
70          ,  5.876522370994315e+01,  5.475136093481993e+01,  2.280000000000000e+02,  9.944155386000000e+00
89          ,  1.845971359160373e+02,  1.612570064760645e+02,  4.168800000000001e+02,  1.746226304020000e+01
83          ,  8.685815788108755e+01,  9.591147689285093e+01,  3.216000000000000e+02,  1.193298646320000e+01
123         ,  2.218543389191891e+02,  2.130746334325331e+02,  4.964000000000000e+02,  2.167048578720000e+01
8           ,  1.379771288780131e+02,  1.223987269895530e+02,  3.876000000000000e+02,  1.295630574400000e+01
13          ,  6.359044555550145e+01,  5.260182219255071e+01,  2.356800000000000e+02,  9.281211693600000e+00
108         ,  2.276117669121919e+02,  2.235672726758897e+02,  5.113600000000000e+02,  2.257342269500000e+01
114         ,  1.245825633863354e+02,  1.181972320049483e+02,  3.774000000000000e+02,  1.278201119040000e+01
3           ,  1.766257549836612e+02,  1.780927483081228e+02,  4.307200000000000e+02,  1.936317376980000e+01
38          ,  2.142336089710759e+02,  2.206620652138292e+02,  4.882400000000000e+02,  2.316762507840000e+01
72          ,  1.505744324222536e+02,  1.631669960816627e+02,  4.164000000000000e+02,  1.776911599380000e+01
120         ,  2.717063705144595e+02,  2.595640972100206e+02,  4.896000000000000e+02,  2.892211064080000e+01
101         ,  6.465769186928596e+01,  6.547249946804062e+01,  2.592000000000000e+02,  1.015883059500000e+01
2           ,  5.771548700058894e+01,  5.946526830572680e+01,  2.438400000000000e+02,  9.944155386000000e+00
122         ,  2.014000729838491e+02,  2.047562906406780e+02,  4.705599999999999e+02,  2.157654151840000e+01
54          ,  8.998190321387162e+01,  8.361843661560373e+01,  3.354000000000000e+02,  9.481575222000000e+00
104         ,  1.531720861969143e+02,  1.473160177229917e+02,  4.175200000000000e+02,  1.534992743260000e+01
46          ,  6.638274984747244e+01,  7.683326691505596e+01,  3.126000000000000e+02,  9.481575222000000e+00
105         ,  6.260542136940490e+01,  7.006867292620365e+01,  1.886400000000000e+02,  1.398463402680000e+01
61          ,  1.513414191693852e+02,  1.555642232630624e+02,  4.046400000000000e+02,  1.715580124820000e+01
141         ,  5.908637035915022e+01,  5.131621109139429e+01,  2.313600000000000e+02,  9.281211693600000e+00
79          ,  6.172344219415545e+01,  6.160795347432084e+01,  2.510400000000000e+02,  9.944155386000000e+00
91          ,  7.059248384925451e+01,  7.819313255472375e+01,  2.867200000000000e+02,  1.083608596800000e+01
41          ,  8.588925575648324e+01,  8.750190923161560e+01,  3.180000000000000e+02,  1.083608596800000e+01
58          ,  2.413589823761019e+02,  2.417306368432769e+02,  4.812000000000000e+02,  2.663007133000000e+01
90          ,  1.323141358213091e+02,  1.365161960376324e+02,  3.641600000000001e+02,  1.610925229599999e+01
48          ,  1.506649136932021e+02,  1.534400517306163e+02,  3.990000000000000e+02,  1.708917386400000e+01
88          ,  1.252802886728060e+02,  1.297102383148538e+02,  3.792000000000000e+02,  1.442287721600000e+01
126         ,  7.603223118739854e+01,  7.276362349836018e+01,  2.587200000000000e+02,  1.127004277080000e+01
21          ,  7.298106977000764e+01,  8.103171877761457e+01,  2.716000000000000e+02,  1.193298646320000e+01
138         ,  6.719447744045841e+01,  7.308356787001640e+01,  3.000000000000000e+02,  9.481575222000000e+00
59          ,  7.370978119031361e+01,  8.118552403773019e+01,  3.120000000000000e+02,  1.015883059500000e+01
63          ,  9.527186437700378e+01,  9.125443997621342e+01,  3.001600000000000e+02,  1.219059671400000e+01
128         ,  1.127928271848657e+02,  1.078885936992685e+02,  3.712800000000000e+02,  1.151334134100000e+01
37          ,  6.740982957627959e+01,  7.047809265185988e+01,  2.510400000000000e+02,  1.127004277080000e+01
29          ,  7.604393505755419e+01,  7.433346755169626e+01,  3.042000000000000e+02,  9.481575222000000e+00
107         ,  5.684900711217347e+01,  4.988775431233160e+01,  2.265600000000000e+02,  9.281211693600000e+00
134         ,  2.189143114936079e+02,  2.068059430241732e+02,  4.554000000000000e+02,  2.255729340560000e+01
1           ,  6.589429488532184e+01,  7.095291275911939e+01,  1.908000000000000e+02,  1.402072305120000e+01
52          ,  1.685536482338435e+02,  1.666823785267670e+02,  4.420000000000000e+02,  1.715580124820000e+01
130         ,  7.583037174302696e+01,  8.404243759585555e+01,  3.216000000000000e+02,  1.015883059500000e+01
103         ,  5.981199781507478e+01,  5.560843500225754e+01,  2.308800000000000e+02,  9.944155386000000e+00
99          ,  1.103591846419842e+02,  1.101100694598409e+02,  3.635200000000000e+02,  1.219059671400000e+01
116         ,  6.928383831454539e+01,  7.880476273929237e+01,  3.040000000000000e+02,  1.015883059500000e+01
87          ,  1.073098314779565e+02,  1.078798526503179e+02,  3.767200000000000e+02,  1.127004277080000e+01
74          ,  1.634935249887072e+02,  1.625654862727465e+02,  4.200000000000000e+02,  1.751906198220000e+01
121         ,  7.759315330331438e+01,  7.952635888184892e+01,  2.912000000000000e+02,  1.083608596800000e+01
143         ,  7.259770851342745e+01,  7.933589797797391e+01,  2.905600000000001e+02,  1.083608596800000e+01
20          ,  1.126975075036733e+02,  1.061387341449167e+02,  3.654000000000000e+02,  1.151334134100000e+01
71          ,  2.033361364024827e+02,  2.157695093127915e+02,  4.855200000000000e+02,  2.255729340560000e+01
92          ,  7.315017953780705e+01,  6.804286255377812e+01,  2.577600000000000e+02,  1.060709907840000e+01
102         ,  8.368680399312422e+01,  8.047129564819885e+01,  3.096000000000000e+02,  1.015883059500000e+01
