# c0 + a0 * (min:atomic_volume * max:electron_affinity) + a1 * (min:gs_est_bcc_latcnt / ave:heat_capacity_mass) + a2 * (min:vdw_radius * ave:vdw_radius_uff)
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 6.73726468787641; Max AE: 18.4367742513921
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  7.705621153511684e-01,  4.222421078487886e+00,  2.713224581949879e-03, -1.041614858891770e+02, 
# Feature Rung, Units, and Expressions
# 0;  1; cm^3 * eV * mol^-1;                               235|190|mult; (min:atomic_volume * max:electron_affinity); $\left(min:atomic_{volume} max:electron_{affinity}\right)$; (min:atomic_volume .* max:electron_affinity); min:atomic_volume,max:electron_affinity
# 1;  1; AA * J^-1 * K * g;                                256|30|div; (min:gs_est_bcc_latcnt / ave:heat_capacity_mass); $\left(\frac{ min:gs_{est, bcc, latcnt} }{ ave:heat_{capacity, mass} } \right)$; (min:gs_est_bcc_latcnt ./ ave:heat_capacity_mass); min:gs_est_bcc_latcnt,ave:heat_capacity_mass
# 2;  1; pm^2;                                             284|55|mult; (min:vdw_radius * ave:vdw_radius_uff); $\left(min:vdw_{radius} ave:vdw_{radius, uff}\right)$; (min:vdw_radius .* ave:vdw_radius_uff); min:vdw_radius,ave:vdw_radius_uff
# Number of Samples Per Task
# Task, n_mats_train            
# all , 103                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
64          ,  9.806170819706537e+01,  8.859699606204322e+01,  5.033760756000001e+01,  4.517125594957983e+00,  4.971834000000000e+04
69          ,  7.310044637476960e+01,  7.145743505037598e+01,  2.414844687000000e+01,  4.406048736065574e+00,  5.101194000000000e+04
11          ,  1.617034912836585e+02,  1.713161168609645e+02,  5.671978250000000e+01,  8.970284621249386e+00,  7.146300000000000e+04
110         ,  1.562326241405194e+02,  1.465202517950923e+02,  3.464495846000001e+01,  6.620713558409280e+00,  7.224989999999999e+04
113         ,  7.050822380170608e+01,  6.636692488935873e+01,  2.244785202000000e+01,  4.098337494663007e+00,  5.009759999999999e+04
55          ,  1.465164071687489e+02,  1.473700038236539e+02,  2.993593498000001e+01,  7.555315699852144e+00,  7.244600000000000e+04
45          ,  6.922252251530169e+01,  8.465564654981392e+01,  4.761665580000001e+01,  3.483268181700363e+00,  5.064738000000000e+04
4           ,  7.851117738952721e+01,  6.926768121195602e+01,  2.513479188300001e+01,  4.055053906155703e+00,  5.047098000000000e+04
26          ,  5.966202570927710e+01,  5.917893120069029e+01,  1.241946475000000e+01,  2.603733406739212e+00,  5.262240000000000e+04
124         ,  1.885207260436857e+02,  1.921161324032146e+02,  7.904432270000001e+01,  8.001884136513159e+00,  7.429600000000000e+04
31          ,  8.459240483249847e+01,  8.313047066448564e+01,  3.503225391000001e+01,  4.738522089210155e+00,  5.170578000000000e+04
