# c0 + a0 * (min:lattice_constant / var:vdw_radius_alvarez) + a1 * (ave:num_p_valence * ave:covalent_radius_pyykko) + a2 * (min:gs_est_bcc_latcnt * ave:period)
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 5.89144291674732; Max AE: 16.9541556442667
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  4.604477248381781e+03,  3.066996042550645e-01,  8.199432394585505e+00, -8.641208326082220e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; AA * pm^-1;                                       267|169|div; (min:lattice_constant / var:vdw_radius_alvarez); $\left(\frac{ min:lattice_{constant} }{ var:vdw_{radius, alvarez} } \right)$; (min:lattice_constant ./ var:vdw_radius_alvarez); min:lattice_constant,var:vdw_radius_alvarez
# 1;  1; pm;                                               46|9|mult; (ave:num_p_valence * ave:covalent_radius_pyykko); $\left(ave:num_{p, valence} ave:covalent_{radius, pyykko}\right)$; (ave:num_p_valence .* ave:covalent_radius_pyykko); ave:num_p_valence,ave:covalent_radius_pyykko
# 2;  1; AA;                                               256|49|mult; (min:gs_est_bcc_latcnt * ave:period); $\left(min:gs_{est, bcc, latcnt} ave:period\right)$; (min:gs_est_bcc_latcnt .* ave:period); min:gs_est_bcc_latcnt,ave:period
# Number of Samples Per Task
# Task, n_mats_train            
# all , 104                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
27          ,  9.195581102005919e+01,  9.655730086313412e+01,  2.220014941591959e-03,  3.522400000000000e+02,  7.892681361000001e+00
69          ,  7.310044637476960e+01,  7.838963413983836e+01,  1.207424609585353e-03,  2.892800000000000e+02,  8.600607132800000e+00
125         ,  2.012029980198631e+02,  1.981933863851557e+02,  1.212945564685756e-03,  4.454400000000000e+02,  1.736757019480000e+01
73          ,  1.013508525385564e+02,  1.028826675478551e+02,  7.098055225653206e-04,  3.622400000000001e+02,  9.138145078600001e+00
11          ,  1.617034912836585e+02,  1.616463975210793e+02,  1.525727961707220e-03,  4.153600000000001e+02,  1.385980736260000e+01
119         ,  1.887146035400442e+02,  1.797395132096905e+02,  3.863116078642607e-03,  4.197600000000000e+02,  1.458927090800000e+01
110         ,  1.562326241405194e+02,  1.590969926289708e+02,  2.795701864712637e-03,  3.996000000000000e+02,  1.342521812520000e+01
113         ,  7.050822380170608e+01,  7.716163070703878e+01,  7.043155333589447e-04,  3.072000000000000e+02,  8.063069187000000e+00
55          ,  1.465164071687489e+02,  1.544042296780977e+02,  1.421077242306456e-03,  4.031999999999999e+02,  1.349016728840000e+01
45          ,  6.922252251530169e+01,  7.769335560735419e+01,  6.180207932229495e-04,  3.246000000000000e+02,  7.525531241199999e+00
9           ,  7.063457799019668e+01,  7.690341140808563e+01,  1.097795661301609e-03,  2.860800000000000e+02,  8.600607132800000e+00
4           ,  7.851117738952721e+01,  8.063938803522221e+01,  1.099926015709856e-03,  3.126000000000000e+02,  8.063069187000000e+00
26          ,  5.966202570927710e+01,  5.816145617219113e+01,  9.417619885613727e-04,  2.462400000000000e+02,  7.892681361000001e+00
124         ,  1.885207260436857e+02,  1.891788304132024e+02,  1.848073763976472e-03,  4.338000000000000e+02,  1.634688906480000e+01
31          ,  8.459240483249847e+01,  8.572185070140759e+01,  1.331055919736559e-03,  2.969600000000000e+02,  9.138145078600001e+00
98          ,  1.892571838929967e+02,  1.944295201128721e+02,  1.437423811458756e-03,  4.726000000000000e+02,  1.576655296920000e+01
16          ,  1.473017585346737e+02,  1.420438528472493e+02,  9.724071318557965e-04,  3.858000000000000e+02,  1.288550196980000e+01
10          ,  1.071503545301096e+02,  9.880136726470029e+01,  6.760241961955078e-04,  3.494400000000000e+02,  9.138145078600001e+00
93          ,  1.586721939022781e+02,  1.591410507613365e+02,  1.912968489062885e-03,  4.270400000000000e+02,  1.289990697480000e+01
111         ,  9.534692245017716e+01,  9.274409466890567e+01,  1.676551537000426e-03,  3.290400000000000e+02,  8.600607132800000e+00
118         ,  5.345461156622450e+01,  4.918867757728935e+01,  1.113024323653512e-03,  2.284800000000000e+02,  7.366502603600000e+00
127         ,  1.258768321724361e+02,  1.387133988418802e+02,  1.403114915111548e-03,  3.153600000000000e+02,  1.487225924100000e+01
0           ,  1.324521624992106e+02,  1.338812363764740e+02,  2.533072387652975e-03,  3.726000000000000e+02,  1.150732982160000e+01
84          ,  1.874396857101914e+02,  1.852031265773155e+02,  1.138831627770007e-03,  4.576400000000000e+02,  1.536856120800000e+01
28          ,  9.362157646373184e+01,  8.920861896487042e+01,  6.429978597139800e-04,  3.474000000000000e+02,  8.063069187000000e+00
40          ,  1.876581343779474e+02,  1.888916112126030e+02,  1.627521062037273e-03,  4.441600000000001e+02,  1.604819799880000e+01
86          ,  6.540869502383295e+01,  6.569855846711214e+01,  1.066173628469090e-03,  2.548800000000000e+02,  8.418860118400001e+00
24          ,  9.809953691058023e+01,  9.941072259332091e+01,  1.268609295570080e-03,  3.617599999999999e+02,  8.418860118400001e+00
25          ,  1.397570909097410e+02,  1.437338563737115e+02,  9.572535949670460e-04,  3.942000000000000e+02,  1.278592202400000e+01
23          ,  1.776115625775598e+02,  1.795230651500356e+02,  1.389631723716382e-03,  4.549200000000000e+02,  1.463672496000000e+01
115         ,  1.348472579215662e+02,  1.360944267319149e+02,  1.315789473684211e-03,  3.810000000000000e+02,  1.214662592280000e+01
67          ,  1.178407975639319e+02,  1.159776349591646e+02,  1.215324535416106e-03,  3.714000000000000e+02,  1.010869375320000e+01
44          ,  1.408716465187509e+02,  1.384409405695694e+02,  1.295281014983639e-03,  3.984000000000000e+02,  1.179347604540000e+01
15          ,  1.304908476901080e+02,  1.186963933040332e+02,  1.847420881474235e-03,  3.756000000000000e+02,  9.928211353200000e+00
95          ,  7.035268214247002e+01,  6.882978075919468e+01,  7.772460054265902e-04,  2.553600000000000e+02,  8.945038875800002e+00
39          ,  6.690965549992833e+01,  6.361633830313335e+01,  9.336803983703033e-04,  2.500800000000000e+02,  8.418860118400001e+00
22          ,  8.942508557141944e+01,  8.665767487839419e+01,  1.193260082647276e-03,  3.020800000000000e+02,  9.138145078600001e+00
68          ,  1.728438327749059e+02,  1.723975030734945e+02,  6.379962192816634e-03,  4.032000000000000e+02,  1.289990697480000e+01
80          ,  1.635560662373134e+02,  1.679838367111122e+02,  1.010135936141626e-03,  4.211999999999999e+02,  1.470381032760000e+01
140         ,  9.231264108905833e+01,  8.987641055022603e+01,  1.027821166484925e-03,  3.438000000000000e+02,  8.063069187000000e+00
47          ,  5.673059181818780e+01,  5.534267289527126e+01,  8.731082654249126e-04,  2.380800000000000e+02,  7.892681361000001e+00
