# c0 + a0 * (min:gs_est_fcc_latcnt * ave:covalent_radius_pyykko_triple)
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 12.9645913211545; Max AE: 39.691961883676
# Coefficients
# Task   a0                      c0
# all ,  4.104627055485658e-01, -3.806482477268599e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; AA * pm;                                          257|11|mult; (min:gs_est_fcc_latcnt * ave:covalent_radius_pyykko_triple); $\left(min:gs_{est, fcc, latcnt} ave:covalent_{radius, pyykko, triple}\right)$; (min:gs_est_fcc_latcnt .* ave:covalent_radius_pyykko_triple); min:gs_est_fcc_latcnt,ave:covalent_radius_pyykko_triple
# Number of Samples Per Task
# Task, n_mats_train            
# all , 104                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
27          ,  9.195581102005919e+01,  7.655898717111273e+01,  2.792551196353123e+02
69          ,  7.310044637476960e+01,  7.618827312710498e+01,  2.783519583030000e+02
125         ,  2.012029980198631e+02,  2.044967839609557e+02,  5.909467667944849e+02
73          ,  1.013508525385564e+02,  8.931265098706406e+01,  3.103265510797516e+02
11          ,  1.617034912836585e+02,  1.755095735458655e+02,  5.203259527150426e+02
119         ,  1.887146035400442e+02,  1.739454671038636e+02,  5.165153593995999e+02
110         ,  1.562326241405194e+02,  1.617027536829890e+02,  4.866887435941205e+02
113         ,  7.050822380170608e+01,  7.344902212491886e+01,  2.716783897542442e+02
55          ,  1.465164071687489e+02,  1.468573989438308e+02,  4.505213779882295e+02
45          ,  6.922252251530169e+01,  8.067671201638981e+01,  2.892870294522442e+02
9           ,  7.063457799019668e+01,  7.452034469061168e+01,  2.742884260650000e+02
4           ,  7.851117738952721e+01,  7.400499827041661e+01,  2.730329005002442e+02
26          ,  5.966202570927710e+01,  7.247728224697983e+01,  2.693109642493123e+02
124         ,  1.885207260436857e+02,  2.051415043828187e+02,  5.925174829963415e+02
31          ,  8.459240483249847e+01,  8.591785567331590e+01,  3.020558963580000e+02
98          ,  1.892571838929967e+02,  1.832750435917207e+02,  5.392447727220318e+02
16          ,  1.473017585346737e+02,  1.480879973233513e+02,  4.535194539714687e+02
