# c0 + a0 * (ave:num_p_valence * ave:covalent_radius_pyykko) + a1 * (min:gs_est_bcc_latcnt * ave:period)
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 7.42273143498294; Max AE: 22.0197321826057
# Coefficients
# Task   a0                      a1                      c0
# all ,  3.306460778763324e-01,  8.069145758895727e+00, -8.658362766329378e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; pm;                                               46|9|mult; (ave:num_p_valence * ave:covalent_radius_pyykko); $\left(ave:num_{p, valence} ave:covalent_{radius, pyykko}\right)$; (ave:num_p_valence .* ave:covalent_radius_pyykko); ave:num_p_valence,ave:covalent_radius_pyykko
# 1;  1; AA;                                               256|49|mult; (min:gs_est_bcc_latcnt * ave:period); $\left(min:gs_{est, bcc, latcnt} ave:period\right)$; (min:gs_est_bcc_latcnt .* ave:period); min:gs_est_bcc_latcnt,ave:period
# Number of Samples Per Task
# Task, n_mats_train            
# all , 104                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
27          ,  9.195581102005919e+01,  9.357034313829408e+01,  3.522400000000000e+02,  7.892681361000001e+00
69          ,  7.310044637476960e+01,  7.846522231433313e+01,  2.892800000000000e+02,  8.600607132800000e+00
125         ,  2.012029980198631e+02,  2.008408166456340e+02,  4.454400000000000e+02,  1.736757019480000e+01
73          ,  1.013508525385564e+02,  1.069266321917880e+02,  3.622400000000001e+02,  9.138145078600001e+00
11          ,  1.617034912836585e+02,  1.625903330424553e+02,  4.153600000000001e+02,  1.385980736260000e+01
119         ,  1.887146035400442e+02,  1.699313234587445e+02,  4.197600000000000e+02,  1.458927090800000e+01
110         ,  1.562326241405194e+02,  1.538725869532963e+02,  3.996000000000000e+02,  1.342521812520000e+01
113         ,  7.050822380170608e+01,  8.005292799427943e+01,  3.072000000000000e+02,  8.063069187000000e+00
55          ,  1.465164071687489e+02,  1.555869970984302e+02,  4.031999999999999e+02,  1.349016728840000e+01
45          ,  6.922252251530169e+01,  8.146869771372999e+01,  3.246000000000000e+02,  7.525531241199999e+00
9           ,  7.063457799019668e+01,  7.740715486512887e+01,  2.860800000000000e+02,  8.600607132800000e+00
4           ,  7.851117738952721e+01,  8.183841681481159e+01,  3.126000000000000e+02,  8.063069187000000e+00
26          ,  5.966202570927710e+01,  5.852185888340284e+01,  2.462400000000000e+02,  7.892681361000001e+00
124         ,  1.885207260436857e+02,  1.887560714878291e+02,  4.338000000000000e+02,  1.634688906480000e+01
31          ,  8.459240483249847e+01,  8.534205622802097e+01,  2.969600000000000e+02,  9.138145078600001e+00
98          ,  1.892571838929967e+02,  1.969023227648860e+02,  4.726000000000000e+02,  1.576655296920000e+01
16          ,  1.473017585346737e+02,  1.449546227522495e+02,  3.858000000000000e+02,  1.288550196980000e+01
10          ,  1.071503545301096e+02,  1.026943623949709e+02,  3.494400000000000e+02,  9.138145078600001e+00
93          ,  1.586721939022781e+02,  1.587067030888720e+02,  4.270400000000000e+02,  1.289990697480000e+01
111         ,  9.534692245017716e+01,  9.161171037069612e+01,  3.290400000000000e+02,  8.600607132800000e+00
118         ,  5.345461156622450e+01,  4.840377145162392e+01,  2.284800000000000e+02,  7.366502603600000e+00
127         ,  1.258768321724361e+02,  1.376953470354994e+02,  3.153600000000000e+02,  1.487225924100000e+01
0           ,  1.324521624992106e+02,  1.294694225796057e+02,  3.726000000000000e+02,  1.150732982160000e+01
84          ,  1.874396857101914e+02,  1.887444039078936e+02,  4.576400000000000e+02,  1.536856120800000e+01
28          ,  9.362157646373184e+01,  9.334490032490798e+01,  3.474000000000000e+02,  8.063069187000000e+00
40          ,  1.876581343779474e+02,  1.897713831061940e+02,  4.441600000000001e+02,  1.604819799880000e+01
86          ,  6.540869502383295e+01,  6.562445408494958e+01,  2.548800000000000e+02,  8.418860118400001e+00
24          ,  9.809953691058023e+01,  1.009639068883720e+02,  3.617599999999999e+02,  8.418860118400001e+00
