# c0 + a0 * ((min:atomic_weight * min:gs_volume_per) / (min:period^3)) + a1 * ((ave:gs_volume_per * ave:atomic_number) / (min:covalent_radius_cordero^2)) + a2 * ((ave:gs_volume_per + min:gs_volume_per) * (min:covalent_radius_pyykko_triple * min:fusion_enthalpy))
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 8.23818371764775; Max AE: 21.009635163843
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  9.851750889178159e-01,  1.923107017331151e+02,  6.895035355689810e-03,  2.621304486609535e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Da * cm^3 * mol^-1;                               15|7|mult|12|cb|div; ((min:atomic_weight * min:gs_volume_per) / (min:period^3)); $\left(\frac{ \left(min:atomic_{weight} min:gs_{volume, per}\right) }{ \left(min:period^3\right) } \right)$; ((min:atomic_weight .* min:gs_volume_per) ./ (min:period).^3); min:atomic_weight,min:gs_volume_per,min:period
# 1;  2; cm^3 * mol^-1 * pm^-2;                            22|20|mult|14|sq|div; ((ave:gs_volume_per * ave:atomic_number) / (min:covalent_radius_cordero^2)); $\left(\frac{ \left(ave:gs_{volume, per} ave:atomic_{number}\right) }{ \left(min:covalent_{radius, cordero}^2\right) } \right)$; ((ave:gs_volume_per .* ave:atomic_number) ./ (min:covalent_radius_cordero).^2); ave:gs_volume_per,ave:atomic_number,min:covalent_radius_cordero
# 2;  2; KJ * cm^3 * mol^-2 * pm;                          22|7|add|8|4|mult|mult; ((ave:gs_volume_per + min:gs_volume_per) * (min:covalent_radius_pyykko_triple * min:fusion_enthalpy)); $\left(\left(ave:gs_{volume, per} + min:gs_{volume, per}\right) \left(min:covalent_{radius, pyykko, triple} min:fusion_{enthalpy}\right)\right)$; ((ave:gs_volume_per + min:gs_volume_per) .* (min:covalent_radius_pyykko_triple .* min:fusion_enthalpy)); ave:gs_volume_per,min:gs_volume_per,min:covalent_radius_pyykko_triple,min:fusion_enthalpy
# Number of Samples Per Task
# Task, n_mats_train            
# all , 103                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
64          ,  9.806170819706537e+01,  1.019974669964132e+02,  2.305337483446250e+01,  2.572101251368421e-01,  5.233550930256300e+02
27          ,  9.195581102005919e+01,  7.150715041024907e+01,  1.820886187500000e+01,  1.264455463757576e-01,  4.406586066744401e+02
69          ,  7.310044637476960e+01,  7.225476127486264e+01,  2.305337483446250e+01,  1.101406586642043e-01,  3.116559000000000e+02
125         ,  2.012029980198631e+02,  1.970164052949978e+02,  3.359713500000000e+01,  1.276504652777778e-01,  1.641119205000000e+04
73          ,  1.013508525385564e+02,  1.054444087085857e+02,  2.305337483446250e+01,  2.728017543859649e-01,  5.884025550000001e+02
119         ,  1.887146035400442e+02,  1.759637333451056e+02,  3.185248148148149e+01,  8.806987697039602e-02,  1.471111200000000e+04
55          ,  1.465164071687489e+02,  1.516180332586384e+02,  1.799088500000000e+01,  1.010878611111111e-01,  1.279769205000000e+04
45          ,  6.922252251530169e+01,  7.817316747528533e+01,  2.305337483446250e+01,  1.335532163742690e-01,  5.170095675000000e+02
9           ,  7.063457799019668e+01,  7.224877051669937e+01,  2.305337483446250e+01,  1.101565096952909e-01,  3.103449450000001e+02
26          ,  5.966202570927710e+01,  6.414894553528306e+01,  1.820886187500000e+01,  9.058561371551882e-02,  3.736602466744400e+02
31          ,  8.459240483249847e+01,  7.773367848331311e+01,  2.305337483446250e+01,  1.380878731917513e-01,  3.267927000000000e+02
98          ,  1.892571838929967e+02,  1.837370817094386e+02,  2.610708046875000e+01,  1.211786666666667e-01,  1.573596530000000e+04
36          ,  1.804786609572536e+02,  1.760968319172851e+02,  2.610708046875000e+01,  9.771429166666663e-02,  1.528233465000000e+04
10          ,  1.071503545301096e+02,  1.029462881841558e+02,  2.305337483446250e+01,  2.619818405663281e-01,  5.278756275000001e+02
93          ,  1.586721939022781e+02,  1.574702536671640e+02,  3.020471296296296e+01,  8.637600922722030e-02,  1.231164783000000e+04
42          ,  1.922420330482679e+02,  1.911124899415840e+02,  1.846092875000000e+01,  1.209875000000000e-01,  1.790346250000000e+04
118         ,  5.345461156622450e+01,  5.547493870665146e+01,  1.820886187500000e+01,  4.873324150596878e-02,  2.829648800000000e+02
127         ,  1.258768321724361e+02,  1.340277640225772e+02,  2.636044444444444e+01,  1.041796281179138e-01,  8.964451286874999e+03
96          ,  9.458888504929534e+01,  7.357924988545238e+01,  1.820886187500000e+01,  1.410828282828283e-01,  3.329279800000000e+02
60          ,  6.700355961656858e+01,  6.438422402657217e+01,  1.820886187500000e+01,  9.148337924958679e-02,  3.827433866744400e+02
0           ,  1.324521624992106e+02,  1.346715696357201e+02,  2.144068518518518e+01,  7.328993656435985e-02,  1.062231778764477e+04
84          ,  1.874396857101914e+02,  1.792089523821451e+02,  3.216431018518519e+01,  1.571129950019224e-01,  1.321152327000000e+04
28          ,  9.362157646373184e+01,  9.141637549210981e+01,  2.305337483446250e+01,  1.993741766659279e-01,  6.018725049909900e+02
40          ,  1.876581343779474e+02,  1.846818588416886e+02,  3.028861000000000e+01,  1.079269375000000e-01,  1.564513005000000e+04
86          ,  6.540869502383295e+01,  7.107315228814466e+01,  1.820886187500000e+01,  1.262702785465565e-01,  3.826034666744401e+02
25          ,  1.397570909097410e+02,  1.475831936648316e+02,  2.144068518518518e+01,  1.209338235294118e-01,  1.116607057500000e+04
23          ,  1.776115625775598e+02,  1.760500467651727e+02,  3.216431018518519e+01,  1.334741637831603e-01,  1.341269622000000e+04
67          ,  1.178407975639319e+02,  1.204720645128123e+02,  1.453450000000000e+01,  7.884792387543253e-02,  9.394686089999999e+03
95          ,  7.035268214247002e+01,  6.994709600864402e+01,  1.820886187500000e+01,  1.212055555555556e-01,  3.605505200000001e+02
39          ,  6.690965549992833e+01,  6.462661529918104e+01,  1.820886187500000e+01,  9.432208448117539e-02,  3.387230000000000e+02
22          ,  8.942508557141944e+01,  7.913298642463300e+01,  2.305337483446250e+01,  1.450574330563250e-01,  3.353476950000000e+02
68          ,  1.728438327749059e+02,  1.645189313223452e+02,  3.020471296296296e+01,  6.128408304498270e-02,  1.403377440000000e+04
80          ,  1.635560662373134e+02,  1.664880992406275e+02,  2.038800500000000e+01,  1.268076250000000e-01,  1.389446630000000e+04
112         ,  7.423809586689029e+01,  7.706255294976201e+01,  1.820886187500000e+01,  1.578692378328742e-01,  3.699251600000001e+02
137         ,  2.091771198782973e+02,  2.053940071574787e+02,  3.028861000000000e+01,  8.272483333333333e-02,  1.935196857000000e+04
33          ,  9.639831336185570e+01,  9.023094483228779e+01,  2.305337483446250e+01,  1.977323590382272e-01,  4.757394955346400e+02
81          ,  6.779890223639997e+01,  7.164600223253100e+01,  2.305337483446250e+01,  1.025378680650046e-01,  4.354172600090101e+02
142         ,  6.217869364696995e+01,  7.082151294642702e+01,  1.820886187500000e+01,  1.251348484884298e-01,  3.777762266744401e+02
62          ,  1.284855607921225e+02,  1.450422879693827e+02,  2.060523888888889e+01,  7.193579392541330e-02,  1.228354137000000e+04
139         ,  7.773399964038569e+01,  6.629291756880016e+01,  2.305337483446250e+01,  7.941986712477685e-02,  3.038377055256300e+02
5           ,  5.646241061036604e+01,  6.070745257575936e+01,  1.820886187500000e+01,  7.456565656565657e-02,  3.213496000000000e+02
85          ,  6.604743166171670e+01,  6.934282123530193e+01,  2.305337483446250e+01,  8.934332615401662e-02,  4.693939700090100e+02
109         ,  1.156360400954843e+02,  1.202268773262464e+02,  2.305337483446250e+01,  3.492962757771623e-01,  5.988091050000000e+02
49          ,  7.517971112473752e+01,  6.641847734825646e+01,  1.820886187500000e+01,  1.054042240587695e-01,  2.895061400000000e+02
35          ,  1.142981641844795e+02,  1.088336457261294e+02,  2.305337483446250e+01,  2.895508771929824e-01,  6.127971300000000e+02
77          ,  1.735436897724758e+02,  1.925055882572581e+02,  3.198325500000000e+01,  1.240118055555555e-01,  1.608906035000000e+04
34          ,  6.288448403712296e+01,  7.897455426143817e+01,  1.820886187500000e+01,  1.662210055096419e-01,  4.142856300000000e+02
131         ,  7.332445965687805e+01,  7.539139438592179e+01,  1.820886187500000e+01,  1.482525252525253e-01,  3.957753800000000e+02
