# c0 + a0 * ((ave:gs_volume_per + min:gs_volume_per) * (ave:covalent_radius_pyykko_triple / ave:covalent_radius_pyykko))
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 12.3424826227261; Max AE: 46.1614558957058
# Coefficients
# Task   a0                      c0
# all ,  3.236635115011509e+00, -5.568708505625692e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; cm^3 * mol^-1;                                    22|7|add|18|25|div|mult; ((ave:gs_volume_per + min:gs_volume_per) * (ave:covalent_radius_pyykko_triple / ave:covalent_radius_pyykko)); $\left(\left(ave:gs_{volume, per} + min:gs_{volume, per}\right) \left(\frac{ ave:covalent_{radius, pyykko, triple} }{ ave:covalent_{radius, pyykko} } \right)\right)$; ((ave:gs_volume_per + min:gs_volume_per) .* (ave:covalent_radius_pyykko_triple ./ ave:covalent_radius_pyykko)); ave:gs_volume_per,min:gs_volume_per,ave:covalent_radius_pyykko_triple,ave:covalent_radius_pyykko
# Number of Samples Per Task
# Task, n_mats_train            
# all , 103                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
64          ,  9.806170819706537e+01,  9.163551095861700e+01,  3.003249239106677e+01
27          ,  9.195581102005919e+01,  9.390130784551275e+01,  3.073253944808194e+01
125         ,  2.012029980198631e+02,  1.912115976508095e+02,  6.079780363370848e+01
73          ,  1.013508525385564e+02,  1.085093932102923e+02,  3.524589509235190e+01
11          ,  1.617034912836585e+02,  1.693571319728215e+02,  5.404558569705350e+01
119         ,  1.887146035400442e+02,  1.486631448587264e+02,  4.765191252144083e+01
110         ,  1.562326241405194e+02,  1.468496959173036e+02,  4.709162417351678e+01
113         ,  7.050822380170608e+01,  8.506443427578314e+01,  2.800227383094635e+01
9           ,  7.063457799019668e+01,  6.177078840518809e+01,  2.080540268456376e+01
4           ,  7.851117738952721e+01,  8.402680311902604e+01,  2.768168435456560e+01
124         ,  1.885207260436857e+02,  1.915034941274556e+02,  6.088798880017729e+01
31          ,  8.459240483249847e+01,  6.965710903341810e+01,  2.324198275862069e+01
36          ,  1.804786609572536e+02,  1.729550162830247e+02,  5.515719827689490e+01
16          ,  1.473017585346737e+02,  1.446796590296155e+02,  4.642116339849044e+01
10          ,  1.071503545301096e+02,  9.865588398383991e+01,  3.220152682830143e+01
111         ,  9.534692245017716e+01,  7.087002479388501e+01,  2.361672866520788e+01
42          ,  1.922420330482679e+02,  2.029119127499030e+02,  6.441276629812111e+01
118         ,  5.345461156622450e+01,  5.944680498725902e+01,  2.008737815126050e+01
127         ,  1.258768321724361e+02,  1.446148531566598e+02,  4.640114079147640e+01
96          ,  9.458888504929534e+01,  8.050079539671950e+01,  2.659227896995708e+01
60          ,  6.700355961656858e+01,  7.675713121309199e+01,  2.543562582537974e+01
40          ,  1.876581343779474e+02,  1.813551241762840e+02,  5.775251952713396e+01
86          ,  6.540869502383295e+01,  7.748204486125098e+01,  2.565959720998125e+01
24          ,  9.809953691058023e+01,  1.012957721074664e+02,  3.301715417887385e+01
25          ,  1.397570909097410e+02,  1.555231406192414e+02,  4.977139634236907e+01
23          ,  1.776115625775598e+02,  1.827948169309273e+02,  5.819733109948763e+01
115         ,  1.348472579215662e+02,  1.433480438104898e+02,  4.600974376921261e+01
