# c0 + a0 * ((min:gs_volume_per * min:boiling_point) / (min:atomic_weight^3)) + a1 * ((ave:covalent_radius_slater * ave:atomic_number) / (ave:covalent_radius_slater - ave:covalent_radius_pyykko_triple)) + a2 * ((min:vdw_radius_alvarez * max:mendeleev_number) * (ave:gs_volume_per + min:gs_volume_per))
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 7.91253024034414; Max AE: 19.6786329509595
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -6.379223649933410e+01,  1.119321806412397e-01,  1.201350086942933e-04,  1.608541111760773e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Da^-3 * K * cm^3 * mol^-1;                        7|6|mult|15|cb|div; ((min:gs_volume_per * min:boiling_point) / (min:atomic_weight^3)); $\left(\frac{ \left(min:gs_{volume, per} min:boiling_{point}\right) }{ \left(min:atomic_{weight}^3\right) } \right)$; ((min:gs_volume_per .* min:boiling_point) ./ (min:atomic_weight).^3); min:gs_volume_per,min:boiling_point,min:atomic_weight
# 1;  2; Unitless;                                         23|20|mult|23|18|sub|div; ((ave:covalent_radius_slater * ave:atomic_number) / (ave:covalent_radius_slater - ave:covalent_radius_pyykko_triple)); $\left(\frac{ \left(ave:covalent_{radius, slater} ave:atomic_{number}\right) }{ \left(ave:covalent_{radius, slater} - ave:covalent_{radius, pyykko, triple}\right) } \right)$; ((ave:covalent_radius_slater .* ave:atomic_number) ./ (ave:covalent_radius_slater - ave:covalent_radius_pyykko_triple)); ave:covalent_radius_slater,ave:atomic_number,ave:covalent_radius_slater,ave:covalent_radius_pyykko_triple
# 2;  2; cm^3 * mol^-1 * pm;                               26|24|mult|22|7|add|mult; ((min:vdw_radius_alvarez * max:mendeleev_number) * (ave:gs_volume_per + min:gs_volume_per)); $\left(\left(min:vdw_{radius, alvarez} max:mendeleev_{number}\right) \left(ave:gs_{volume, per} + min:gs_{volume, per}\right)\right)$; ((min:vdw_radius_alvarez .* max:mendeleev_number) .* (ave:gs_volume_per + min:gs_volume_per)); min:vdw_radius_alvarez,max:mendeleev_number,ave:gs_volume_per,min:gs_volume_per
# Number of Samples Per Task
# Task, n_mats_train            
# all , 103                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
64          ,  9.806170819706537e+01,  9.205015376187519e+01,  1.203444639953172e-01,  1.283148487402476e+02,  5.766780647678641e+05
27          ,  9.195581102005919e+01,  8.184900061325632e+01,  2.005209815647058e-01,  8.729848350857796e+01,  5.725538500101001e+05
125         ,  2.012029980198631e+02,  1.899728681126198e+02,  1.750714739562485e-02,  2.307095279544305e+02,  1.241773386000000e+06
73          ,  1.013508525385564e+02,  1.018143535846686e+02,  1.203444639953172e-01,  1.386204674494462e+02,  6.483530040000001e+05
11          ,  1.617034912836585e+02,  1.589903467587841e+02,  1.299309211202760e-01,  1.526476647362614e+02,  1.116305190000000e+06
119         ,  1.887146035400442e+02,  1.816639509904350e+02,  1.299309211202760e-01,  5.973787028777826e+02,  8.906747850000000e+05
110         ,  1.562326241405194e+02,  1.469454957549766e+02,  9.068173342782489e-02,  2.053161953707518e+02,  9.461304160121519e+05
113         ,  7.050822380170608e+01,  8.136072043436020e+01,  1.203444639953172e-01,  8.050223456900430e+01,  5.322475260000000e+05
9           ,  7.063457799019668e+01,  6.999791090126398e+01,  1.203444639953172e-01,  1.832142857142857e+02,  3.419649960000000e+05
4           ,  7.851117738952721e+01,  8.099399913814480e+01,  1.203444639953172e-01,  7.669023578556232e+01,  5.327466647678640e+05
124         ,  1.885207260436857e+02,  1.836388138579920e+02,  1.519905577777215e-01,  1.579941785532280e+02,  1.328210562000000e+06
31          ,  8.459240483249847e+01,  8.379629237570427e+01,  1.203444639953172e-01,  2.870370370370371e+02,  3.600885600000000e+05
36          ,  1.804786609572536e+02,  1.766455043799082e+02,  1.992880958150798e-02,  2.046993175624399e+02,  1.156356978000000e+06
16          ,  1.473017585346737e+02,  1.443479959774532e+02,  1.044106886743521e-01,  1.178658615742971e+02,  1.013278266000000e+06
10          ,  1.071503545301096e+02,  9.323523179648338e+01,  1.203444639953172e-01,  1.335561606601736e+02,  5.816591820000000e+05
111         ,  9.534692245017716e+01,  8.875496937768239e+01,  1.203444639953172e-01,  3.099999999999998e+02,  3.799693800000000e+05
42          ,  1.922420330482679e+02,  1.956625901382649e+02,  1.519905577777215e-01,  1.674289818765253e+02,  1.419505500000000e+06
118         ,  5.345461156622450e+01,  5.485433834029410e+01,  2.005209815647058e-01,  6.603773584905659e+01,  3.676602000000000e+05
