# c0 + a0 * ((ave:covalent_radius_pyykko_triple^2) * cbrt(min:gs_volume_per))
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 13.0057099941879; Max AE: 31.8367767092134
# Coefficients
# Task   a0                      c0
# all ,  4.088819583285642e-03,  1.561433873441904e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; cm * mol^-0.333333 * pm^2;                        18|sq|7|cbrt|mult; ((ave:covalent_radius_pyykko_triple^2) * cbrt(min:gs_volume_per)); $\left(\left(ave:covalent_{radius, pyykko, triple}^2\right) \left(\sqrt[3]{ min:gs_{volume, per} }\right)\right)$; ((ave:covalent_radius_pyykko_triple).^2 .* nthroot(min:gs_volume_per, 3)); ave:covalent_radius_pyykko_triple,min:gs_volume_per
# Number of Samples Per Task
# Task, n_mats_train            
# all , 103                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
64          ,  9.806170819706537e+01,  7.567958263217874e+01,  1.469011842520408e+04
27          ,  9.195581102005919e+01,  7.621354345615408e+01,  1.482070888367236e+04
69          ,  7.310044637476960e+01,  7.454989443279175e+01,  1.441383130214173e+04
125         ,  2.012029980198631e+02,  2.047108179942818e+02,  4.624720543622299e+04
73          ,  1.013508525385564e+02,  8.886755374754316e+01,  1.791549211722866e+04
11          ,  1.617034912836585e+02,  1.673701501598029e+02,  3.711482209822471e+04
119         ,  1.887146035400442e+02,  1.651555299985812e+02,  3.657319385659851e+04
110         ,  1.562326241405194e+02,  1.671094072330980e+02,  3.705105236679151e+04
113         ,  7.050822380170608e+01,  7.175777752263882e+01,  1.373096504862284e+04
55          ,  1.465164071687489e+02,  1.509568096869115e+02,  3.310062187770478e+04
45          ,  6.922252251530169e+01,  7.927142331568452e+01,  1.556857261237061e+04
9           ,  7.063457799019668e+01,  7.284170847190332e+01,  1.399606135018025e+04
4           ,  7.851117738952721e+01,  7.231900335476483e+01,  1.386822369276068e+04
26          ,  5.966202570927710e+01,  7.197456224180748e+01,  1.378398394925002e+04
124         ,  1.885207260436857e+02,  2.000243379497572e+02,  4.510103599805992e+04
98          ,  1.892571838929967e+02,  1.815179205171665e+02,  4.057493327926021e+04
36          ,  1.804786609572536e+02,  1.748819250636351e+02,  3.895197209978969e+04
16          ,  1.473017585346737e+02,  1.396201532975930e+02,  3.032802304853150e+04
93          ,  1.586721939022781e+02,  1.483289992353710e+02,  3.245793995006912e+04
111         ,  9.534692245017716e+01,  7.804162749990189e+01,  1.526780223335712e+04
42          ,  1.922420330482679e+02,  2.074638779516990e+02,  4.692051955569923e+04
127         ,  1.258768321724361e+02,  1.577136088816495e+02,  3.475312795118344e+04
96          ,  9.458888504929534e+01,  7.994194364074831e+01,  1.573256134100143e+04
60          ,  6.700355961656858e+01,  7.365171257192090e+01,  1.419416353676943e+04
0           ,  1.324521624992106e+02,  1.426150174269897e+02,  3.106047506026593e+04
84          ,  1.874396857101914e+02,  1.695171843215654e+02,  3.763992087503040e+04
28          ,  9.362157646373184e+01,  7.783019707211733e+01,  1.521609282836188e+04
40          ,  1.876581343779474e+02,  1.959427937591025e+02,  4.410281533619965e+04
86          ,  6.540869502383295e+01,  7.449950881479023e+01,  1.440150852365391e+04
24          ,  9.809953691058023e+01,  7.734407718573900e+01,  1.509720279751643e+04
23          ,  1.776115625775598e+02,  1.668252717503505e+02,  3.698156153283322e+04
115         ,  1.348472579215662e+02,  1.444170322541171e+02,  3.150119267825370e+04
67          ,  1.178407975639319e+02,  1.219624365501413e+02,  2.600948651548582e+04
44          ,  1.408716465187509e+02,  1.429930605303283e+02,  3.115293282115224e+04
15          ,  1.304908476901080e+02,  1.135924804591549e+02,  2.396245168783012e+04
95          ,  7.035268214247002e+01,  7.701169002474295e+01,  1.501591108135591e+04
39          ,  6.690965549992833e+01,  7.414974068883095e+01,  1.431596595596785e+04
68          ,  1.728438327749059e+02,  1.507519430389428e+02,  3.305051777215651e+04
80          ,  1.635560662373134e+02,  1.752268836620376e+02,  3.903633840438591e+04
140         ,  9.231264108905833e+01,  8.107232926035884e+01,  1.600901903168344e+04
47          ,  5.673059181818780e+01,  7.053132145088495e+01,  1.343101146867831e+04
30          ,  1.575095787725395e+02,  1.589040532550870e+02,  3.504427417301818e+04
112         ,  7.423809586689029e+01,  7.876164568073496e+01,  1.544389662103232e+04
76          ,  6.221586353440775e+01,  7.804162749990189e+01,  1.526780223335712e+04
137         ,  2.091771198782973e+02,  1.906374353500750e+02,  4.280528721079277e+04
33          ,  9.639831336185570e+01,  7.455255030332287e+01,  1.441448084670515e+04
