# c0 + a0 * ((ave:gs_volume_per * ave:atomic_number) / (ave:heat_capacity_mass * min:Polarizability)) + a1 * ((ave:gs_volume_per + min:gs_volume_per) * (min:covalent_radius_pyykko_triple * min:fusion_enthalpy))
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 9.30942283535933; Max AE: 21.258238552804
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.900187006770357e-02,  6.814658360351689e-03,  5.017774022178260e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; AA_polar^-1 * J^-1 * K * cm^3 * g * mol^-1;       22|20|mult|21|2|mult|div; ((ave:gs_volume_per * ave:atomic_number) / (ave:heat_capacity_mass * min:Polarizability)); $\left(\frac{ \left(ave:gs_{volume, per} ave:atomic_{number}\right) }{ \left(ave:heat_{capacity, mass} min:Polarizability\right) } \right)$; ((ave:gs_volume_per .* ave:atomic_number) ./ (ave:heat_capacity_mass .* min:Polarizability)); ave:gs_volume_per,ave:atomic_number,ave:heat_capacity_mass,min:Polarizability
# 1;  2; KJ * cm^3 * mol^-2 * pm;                          22|7|add|8|4|mult|mult; ((ave:gs_volume_per + min:gs_volume_per) * (min:covalent_radius_pyykko_triple * min:fusion_enthalpy)); $\left(\left(ave:gs_{volume, per} + min:gs_{volume, per}\right) \left(min:covalent_{radius, pyykko, triple} min:fusion_{enthalpy}\right)\right)$; ((ave:gs_volume_per + min:gs_volume_per) .* (min:covalent_radius_pyykko_triple .* min:fusion_enthalpy)); ave:gs_volume_per,min:gs_volume_per,min:covalent_radius_pyykko_triple,min:fusion_enthalpy
# Number of Samples Per Task
# Task, n_mats_train            
# all , 103                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
64          ,  9.806170819706537e+01,  1.016581741662609e+02,  2.521538544029690e+03,  5.233550930256300e+02
27          ,  9.195581102005919e+01,  7.069757246725516e+01,  9.218510770268958e+02,  4.406586066744401e+02
69          ,  7.310044637476960e+01,  7.231440738572286e+01,  1.053203637754952e+03,  3.116559000000000e+02
125         ,  2.012029980198631e+02,  1.919308168702350e+02,  1.574392911591894e+03,  1.641119205000000e+04
73          ,  1.013508525385564e+02,  1.054887455845990e+02,  2.699799692837983e+03,  5.884025550000001e+02
11          ,  1.617034912836585e+02,  1.583091410085312e+02,  1.165226740434212e+03,  1.261837485000000e+04
119         ,  1.887146035400442e+02,  1.726142312160132e+02,  1.167531855249745e+03,  1.471111200000000e+04
110         ,  1.562326241405194e+02,  1.567301498945400e+02,  8.262433618256889e+02,  1.333188486683790e+04
113         ,  7.050822380170608e+01,  7.838736359559375e+01,  1.311340377780807e+03,  4.830328575000000e+02
55          ,  1.465164071687489e+02,  1.597380149403815e+02,  1.176114535950036e+03,  1.279769205000000e+04
45          ,  6.922252251530169e+01,  7.288559458902050e+01,  1.009616986503830e+03,  5.170095675000000e+02
9           ,  7.063457799019668e+01,  7.249380723252912e+01,  1.063114954724599e+03,  3.103449450000001e+02
4           ,  7.851117738952721e+01,  7.735403430192572e+01,  1.256797523231511e+03,  4.834858430256300e+02
26          ,  5.966202570927710e+01,  6.197667498170956e+01,  4.869293286939159e+02,  3.736602466744400e+02
124         ,  1.885207260436857e+02,  1.878045086784279e+02,  9.475589139344262e+02,  1.755353985000000e+04
98          ,  1.892571838929967e+02,  1.848106296772557e+02,  1.441840296139609e+03,  1.573596530000000e+04
