# c0 + a0 * ((ave:covalent_radius_pyykko - ave:covalent_radius_slater) * (min:fusion_enthalpy / min:gs_volume_per)) + a1 * ((ave:gs_volume_per * ave:atomic_number) / (ave:heat_capacity_mass * min:Polarizability)) + a2 * ((ave:gs_volume_per + min:gs_volume_per) * (ave:covalent_radius_pyykko_triple * min:fusion_enthalpy))
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 8.42927839978842; Max AE: 22.2248206585579
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  6.773135354812053e+00,  1.760256612374006e-02,  6.446943283337468e-03,  5.125587434898326e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; KJ * cm^-3 * pm;                                  25|23|sub|4|7|div|mult; ((ave:covalent_radius_pyykko - ave:covalent_radius_slater) * (min:fusion_enthalpy / min:gs_volume_per)); $\left(\left(ave:covalent_{radius, pyykko} - ave:covalent_{radius, slater}\right) \left(\frac{ min:fusion_{enthalpy} }{ min:gs_{volume, per} } \right)\right)$; ((ave:covalent_radius_pyykko - ave:covalent_radius_slater) .* (min:fusion_enthalpy ./ min:gs_volume_per)); ave:covalent_radius_pyykko,ave:covalent_radius_slater,min:fusion_enthalpy,min:gs_volume_per
# 1;  2; AA_polar^-1 * J^-1 * K * cm^3 * g * mol^-1;       22|20|mult|21|2|mult|div; ((ave:gs_volume_per * ave:atomic_number) / (ave:heat_capacity_mass * min:Polarizability)); $\left(\frac{ \left(ave:gs_{volume, per} ave:atomic_{number}\right) }{ \left(ave:heat_{capacity, mass} min:Polarizability\right) } \right)$; ((ave:gs_volume_per .* ave:atomic_number) ./ (ave:heat_capacity_mass .* min:Polarizability)); ave:gs_volume_per,ave:atomic_number,ave:heat_capacity_mass,min:Polarizability
# 2;  2; KJ * cm^3 * mol^-2 * pm;                          22|7|add|18|4|mult|mult; ((ave:gs_volume_per + min:gs_volume_per) * (ave:covalent_radius_pyykko_triple * min:fusion_enthalpy)); $\left(\left(ave:gs_{volume, per} + min:gs_{volume, per}\right) \left(ave:covalent_{radius, pyykko, triple} min:fusion_{enthalpy}\right)\right)$; ((ave:gs_volume_per + min:gs_volume_per) .* (ave:covalent_radius_pyykko_triple .* min:fusion_enthalpy)); ave:gs_volume_per,min:gs_volume_per,ave:covalent_radius_pyykko_triple,min:fusion_enthalpy
# Number of Samples Per Task
# Task, n_mats_train            
# all , 103                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
64          ,  9.806170819706537e+01,  1.009242842974961e+02,  0.000000000000000e+00,  2.521538544029690e+03,  8.194365548902570e+02
27          ,  9.195581102005919e+01,  7.127853192790484e+01, -1.063152114222952e-01,  9.218510770268958e+02,  7.004560391006837e+02
69          ,  7.310044637476960e+01,  7.191481290999123e+01, -1.471027556013390e-01,  1.053203637754952e+03,  4.833606600000000e+02
125         ,  2.012029980198631e+02,  1.902994833256550e+02, -1.204459308807136e+00,  1.574392911591894e+03,  1.853408884212876e+04
73          ,  1.013508525385564e+02,  1.053740325018587e+02,  5.253669842905418e-03,  2.699799692837983e+03,  1.017408007735830e+03
11          ,  1.617034912836585e+02,  1.657982463254812e+02, -7.402308326463303e-01,  1.165226740434212e+03,  1.536310628141582e+04
119         ,  1.887146035400442e+02,  1.836697874218769e+02, -4.080136783926721e-01,  1.167531855249745e+03,  1.777988160000000e+04
110         ,  1.562326241405194e+02,  1.487971745849576e+02, -1.687262706674833e+00,  8.262433618256889e+02,  1.464653113369553e+04
113         ,  7.050822380170608e+01,  7.876813463093734e+01, -4.202935874323961e-02,  1.311340377780807e+03,  7.311953742736712e+02
55          ,  1.465164071687489e+02,  1.495548725997159e+02, -1.458986814712009e+00,  1.176114535950036e+03,  1.356895441683254e+04
45          ,  6.922252251530169e+01,  7.461380908504110e+01,  3.152201905742952e-02,  1.009616986503830e+03,  8.333533945654275e+02
9           ,  7.063457799019668e+01,  7.203086889310480e+01, -1.471027556013390e-01,  1.063114954724599e+03,  4.743007650000001e+02
4           ,  7.851117738952721e+01,  7.797832100673726e+01, -2.101467937162018e-02,  1.256797523231511e+03,  7.355300349851625e+02
26          ,  5.966202570927710e+01,  6.279984780891443e+01, -1.063152114222952e-01,  4.869293286939159e+02,  5.728071287351378e+02
124         ,  1.885207260436857e+02,  1.885196149779962e+02, -5.497286295793762e-01,  9.475589139344262e+02,  1.928164296530734e+04
98          ,  1.892571838929967e+02,  1.824858474251872e+02, -6.359487068028689e-01,  1.441840296139609e+03,  1.708674107280196e+04
36          ,  1.804786609572536e+02,  1.712387575053733e+02, -6.092588567702679e-01,  1.095818542891632e+03,  1.625890796487342e+04
16          ,  1.473017585346737e+02,  1.482556367022978e+02, -1.055963067453194e+00,  1.128587625745893e+03,  1.307377793257045e+04
93          ,  1.586721939022781e+02,  1.554184050312240e+02, -6.092588567702679e-01,  9.722347239051411e+02,  1.414240724058728e+04
111         ,  9.534692245017716e+01,  7.846293200934204e+01, -4.202935874323961e-02,  1.360205335350956e+03,  5.504350950000000e+02
42          ,  1.922420330482679e+02,  1.984867133573937e+02, -5.671641791044776e-01,  1.235871207553326e+03,  2.005877955289790e+04
127         ,  1.258768321724361e+02,  1.316406376027756e+02, -2.015585585585581e-01,  8.010966967972325e+02,  1.049312613790000e+04
96          ,  9.458888504929534e+01,  7.510760203285490e+01, -2.126304228445908e-01,  1.237133192205151e+03,  5.452480880000001e+02
60          ,  6.700355961656858e+01,  6.625049020934911e+01, -6.282262493135626e-02,  6.579512553547276e+02,  5.953971293204891e+02
0           ,  1.324521624992106e+02,  1.339776431182240e+02, -1.687262706674829e+00,  7.199969973066273e+02,  1.263793229223401e+04
84          ,  1.874396857101914e+02,  1.884780448422246e+02, -5.198448915835151e-01,  2.072465906958581e+03,  1.617238240802919e+04
28          ,  9.362157646373184e+01,  8.301296009321351e+01, -5.779036827195438e-02,  1.475084187476943e+03,  9.590965068011920e+02
40          ,  1.876581343779474e+02,  1.816429893066421e+02, -7.402308326463303e-01,  1.262528960665486e+03,  1.755514886570196e+04
86          ,  6.540869502383295e+01,  7.119554007399093e+01, -6.765513454146066e-02,  9.392318528329957e+02,  5.995108292140020e+02
24          ,  9.809953691058023e+01,  7.968088084704635e+01, -1.111477210324000e-01,  1.374527131585626e+03,  7.728655450190790e+02
23          ,  1.776115625775598e+02,  1.814302942046910e+02, -6.142667619144802e-01,  1.671045082164483e+03,  1.627441806332292e+04
