# c0 + a0 * ((|min:vdw_radius - min:atomic_radius_rahm|) * (min:period / min:boiling_point)) + a1 * ((ave:atomic_number / min:covalent_radius_cordero) / (ave:covalent_radius_slater - min:covalent_radius_slater)) + a2 * ((ave:gs_volume_per + min:gs_volume_per) * (ave:covalent_radius_pyykko_triple / ave:covalent_radius_pyykko))
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 7.71645831055085; Max AE: 24.376132433514
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.150407209726100e+02,  3.132003554381272e+03,  3.082229642446374e+00,  2.045777398647079e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; K^-1 * pm;                                        29|19|abd|12|6|div|mult; ((|min:vdw_radius - min:atomic_radius_rahm|) * (min:period / min:boiling_point)); $\left(\left(\left|min:vdw_{radius} - min:atomic_{radius, rahm}\right|\right) \left(\frac{ min:period }{ min:boiling_{point} } \right)\right)$; (abs(min:vdw_radius - min:atomic_radius_rahm) .* (min:period ./ min:boiling_point)); min:vdw_radius,min:atomic_radius_rahm,min:period,min:boiling_point
# 1;  2; pm^-2;                                            20|14|div|23|10|sub|div; ((ave:atomic_number / min:covalent_radius_cordero) / (ave:covalent_radius_slater - min:covalent_radius_slater)); $\left(\frac{ \left(\frac{ ave:atomic_{number} }{ min:covalent_{radius, cordero} } \right) }{ \left(ave:covalent_{radius, slater} - min:covalent_{radius, slater}\right) } \right)$; ((ave:atomic_number ./ min:covalent_radius_cordero) ./ (ave:covalent_radius_slater - min:covalent_radius_slater)); ave:atomic_number,min:covalent_radius_cordero,ave:covalent_radius_slater,min:covalent_radius_slater
# 2;  2; cm^3 * mol^-1;                                    22|7|add|18|25|div|mult; ((ave:gs_volume_per + min:gs_volume_per) * (ave:covalent_radius_pyykko_triple / ave:covalent_radius_pyykko)); $\left(\left(ave:gs_{volume, per} + min:gs_{volume, per}\right) \left(\frac{ ave:covalent_{radius, pyykko, triple} }{ ave:covalent_{radius, pyykko} } \right)\right)$; ((ave:gs_volume_per + min:gs_volume_per) .* (ave:covalent_radius_pyykko_triple ./ ave:covalent_radius_pyykko)); ave:gs_volume_per,min:gs_volume_per,ave:covalent_radius_pyykko_triple,ave:covalent_radius_pyykko
# Number of Samples Per Task
# Task, n_mats_train            
# all , 103                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
64          ,  9.806170819706537e+01,  9.748337139839454e+01,  3.764263027879073e-01,  8.864265927977838e-03,  3.003249239106677e+01
69          ,  7.310044637476960e+01,  7.379530840630477e+01,  3.764263027879073e-01,  1.022120518688024e-02,  2.096827433628318e+01
11          ,  1.617034912836585e+02,  1.643394175270735e+02,  3.897736797988265e-01,  7.069143446852427e-03,  5.404558569705350e+01
110         ,  1.562326241405194e+02,  1.482196944880502e+02,  4.097619764989455e-01,  9.500000000000001e-03,  4.709162417351678e+01
113         ,  7.050822380170608e+01,  8.218568744364634e+01,  3.764263027879073e-01,  5.977907732293696e-03,  2.800227383094635e+01
55          ,  1.465164071687489e+02,  1.547957660060021e+02,  3.615546851461284e-01,  1.080459770114943e-02,  4.610022021374396e+01
45          ,  6.922252251530169e+01,  8.490115556392873e+01,  3.764263027879073e-01,  4.678362573099415e-03,  3.020381264055045e+01
4           ,  7.851117738952721e+01,  8.025771547953507e+01,  3.764263027879073e-01,  5.677830940988836e-03,  2.768168435456560e+01
26          ,  5.966202570927710e+01,  6.757111375542314e+01,  4.213327419891341e-01,  5.544809800128950e-03,  2.537688856703605e+01
124         ,  1.885207260436857e+02,  1.838443858042317e+02,  4.097619764989455e-01,  7.297297297297296e-03,  6.088798880017729e+01
31          ,  8.459240483249847e+01,  8.285795601128785e+01,  3.764263027879073e-01,  1.087719298245614e-02,  2.324198275862069e+01
98          ,  1.892571838929967e+02,  1.869343517994406e+02,  4.097619764989455e-01,  1.032258064516129e-02,  5.881636113318632e+01
36          ,  1.804786609572536e+02,  1.782594981050760e+02,  4.097619764989455e-01,  1.115384615384615e-02,  5.515719827689490e+01
16          ,  1.473017585346737e+02,  1.406775870213880e+02,  3.897736797988265e-01,  7.017543859649123e-03,  4.642116339849044e+01
10          ,  1.071503545301096e+02,  1.009209288210718e+02,  3.764263027879073e-01,  7.827260458839407e-03,  3.220152682830143e+01
93          ,  1.586721939022781e+02,  1.571201105893303e+02,  3.897736797988265e-01,  7.352941176470588e-03,  5.141496975462905e+01
111         ,  9.534692245017716e+01,  8.572532423768537e+01,  3.764263027879073e-01,  1.142390860873113e-02,  2.361672866520788e+01
42          ,  1.922420330482679e+02,  1.942248523787764e+02,  4.097619764989455e-01,  7.142857142857143e-03,  6.441276629812111e+01
118         ,  5.345461156622450e+01,  5.051037371360142e+01,  4.213327419891341e-01,  5.303030303030303e-03,  2.008737815126050e+01
96          ,  9.458888504929534e+01,  8.965479870289602e+01,  4.213327419891341e-01,  1.139971139971140e-02,  2.659227896995708e+01
60          ,  6.700355961656858e+01,  6.665593980628229e+01,  4.213327419891341e-01,  5.194805194805196e-03,  2.543562582537974e+01
0           ,  1.324521624992106e+02,  1.298942553985310e+02,  3.897736797988265e-01,  6.372549019607843e-03,  4.357802498641068e+01
84          ,  1.874396857101914e+02,  1.811832127289858e+02,  3.897736797988265e-01,  9.058687066514973e-03,  5.748872223930977e+01
28          ,  9.362157646373184e+01,  9.229341289787254e+01,  3.764263027879073e-01,  4.798761609907120e-03,  3.247981668194629e+01
24          ,  9.809953691058023e+01,  9.496880023607625e+01,  4.213327419891341e-01,  6.773618538324421e-03,  3.301715417887385e+01
25          ,  1.397570909097410e+02,  1.503793716876268e+02,  3.897736797988265e-01,  6.818181818181818e-03,  4.977139634236907e+01
115         ,  1.348472579215662e+02,  1.386884676098920e+02,  3.897736797988265e-01,  6.787330316742082e-03,  4.600974376921261e+01
67          ,  1.178407975639319e+02,  1.208134148867231e+02,  3.897736797988265e-01,  6.747404844290657e-03,  4.025092367446703e+01
44          ,  1.408716465187509e+02,  1.427487417621078e+02,  3.856583308225369e-01,  1.017857142857143e-02,  4.372745510382278e+01
15          ,  1.304908476901080e+02,  1.124593073175785e+02,  3.897736797988265e-01,  6.330532212885155e-03,  3.796411775034258e+01
39          ,  6.690965549992833e+01,  6.486082303860782e+01,  4.213327419891341e-01,  6.936026936026936e-03,  2.308387715930902e+01
22          ,  8.942508557141944e+01,  8.013277724963140e+01,  3.764263027879073e-01,  1.117078410311493e-02,  2.205949228325113e+01
68          ,  1.728438327749059e+02,  1.661793357799602e+02,  3.897736797988265e-01,  1.617647058823530e-02,  4.538813124999999e+01
80          ,  1.635560662373134e+02,  1.663314440162681e+02,  4.097619764989455e-01,  9.078947368421053e-03,  5.339566057603567e+01
140         ,  9.231264108905833e+01,  8.787068187563550e+01,  3.764263027879073e-01,  4.678362573099415e-03,  3.116724712019222e+01
47          ,  5.673059181818780e+01,  5.944334118305566e+01,  4.213327419891341e-01,  5.922865013774106e-03,  2.235575000000000e+01
30          ,  1.575095787725395e+02,  1.459018570150172e+02,  3.897736797988265e-01,  4.411764705882353e-03,  5.076398697685796e+01
76          ,  6.221586353440775e+01,  6.605490593054178e+01,  3.764263027879073e-01,  7.184628237259816e-03,  2.154258823529411e+01
137         ,  2.091771198782973e+02,  2.099233657812290e+02,  4.097619764989455e-01,  2.428571428571428e-02,  5.208630769230770e+01
81          ,  6.779890223639997e+01,  7.230763448448702e+01,  3.764263027879073e-01,  5.091159270725835e-03,  2.569850206524146e+01
142         ,  6.217869364696995e+01,  7.428577388644784e+01,  4.213327419891341e-01,  7.543520309477757e-03,  2.552440895464875e+01
62          ,  1.284855607921225e+02,  1.467690916567944e+02,  4.149203688181056e-01,  5.299417064122946e-03,  5.108193782713489e+01
139         ,  7.773399964038569e+01,  6.802314054813554e+01,  3.764263027879073e-01,  9.086819613135403e-03,  2.024825393981457e+01
135         ,  8.871171279800387e+01,  7.742884718529709e+01,  3.764263027879073e-01,  5.996810207336524e-03,  2.643975466915298e+01
53          ,  1.912036606685361e+02,  1.922809271086042e+02,  4.097619764989455e-01,  9.414414414414414e-03,  6.147383838894676e+01
109         ,  1.156360400954843e+02,  1.148523802023992e+02,  3.764263027879073e-01,  9.481096520909177e-03,  3.504090999302071e+01
49          ,  7.517971112473752e+01,  7.633775817503496e+01,  4.213327419891341e-01,  1.239517826397373e-02,  2.126014989733060e+01
35          ,  1.142981641844795e+02,  1.110059501003740e+02,  3.764263027879073e-01,  7.592752372735117e-03,  3.571181084137856e+01
77          ,  1.735436897724758e+02,  1.979198222059898e+02,  4.097619764989455e-01,  1.114942528735632e-02,  6.154029511028267e+01
131         ,  7.332445965687805e+01,  8.537355121678317e+01,  4.213327419891341e-01,  8.207070707070708e-03,  2.844746666666667e+01
7           ,  6.154031610112789e+01,  6.065506329180064e+01,  4.213327419891341e-01,  5.785123966942149e-03,  2.288884705882353e+01
70          ,  5.876522370994315e+01,  5.618617391913985e+01,  4.213327419891341e-01,  8.547008547008546e-03,  1.863247319441319e+01
89          ,  1.845971359160373e+02,  1.713187743099816e+02,  3.897736797988265e-01,  1.470588235294118e-02,  4.854990932642487e+01
83          ,  8.685815788108755e+01,  8.861814643193001e+01,  4.213327419891341e-01,  9.685086155674391e-03,  2.799826119402985e+01
123         ,  2.218543389191891e+02,  2.130334252715087e+02,  3.147540983606557e-01,  1.225806451612903e-02,  6.177115599474446e+01
8           ,  1.379771288780131e+02,  1.424404261862073e+02,  2.598491198658843e-01,  1.132897603485839e-02,  3.776275702551073e+01
13          ,  6.359044555550145e+01,  4.772196129494534e+01,  4.213327419891341e-01,  5.617147080561716e-03,  1.886351500023934e+01
108         ,  2.276117669121919e+02,  2.214636730029390e+02,  3.147540983606557e-01,  1.138888888888889e-02,  6.538948109672364e+01
114         ,  1.245825633863354e+02,  1.138865344513356e+02,  3.897736797988265e-01,  6.274509803921568e-03,  3.848409507314972e+01
3           ,  1.766257549836612e+02,  1.791863026117076e+02,  3.897736797988265e-01,  7.333333333333333e-03,  5.859405970693197e+01
38          ,  2.142336089710759e+02,  2.082767401101045e+02,  4.097619764989455e-01,  1.162569924484493e-02,  6.441653316026937e+01
72          ,  1.505744324222536e+02,  1.641651991397028e+02,  3.615546851461284e-01,  1.009803921568628e-02,  4.985801186626878e+01
120         ,  2.717063705144595e+02,  2.608488325860391e+02,  4.371584699453552e-01,  1.007194244604317e-02,  8.407443788489317e+01
101         ,  6.465769186928596e+01,  6.854208508499809e+01,  3.764263027879073e-01,  9.266756635177687e-03,  2.023377777777778e+01
2           ,  5.771548700058894e+01,  5.942190776273529e+01,  4.213327419891341e-01,  5.990133897110641e-03,  2.228044094488189e+01
122         ,  2.014000729838491e+02,  2.000701644303506e+02,  4.097619764989455e-01,  1.066666666666667e-02,  6.272850765935225e+01
54          ,  8.998190321387162e+01,  7.848486004735111e+01,  3.764263027879073e-01,  3.859649122807017e-03,  2.895404136225444e+01
104         ,  1.531720861969143e+02,  1.487395197529222e+02,  3.897736797988265e-01,  6.896551724137930e-03,  4.915972655217809e+01
46          ,  6.638274984747244e+01,  7.350439864927316e+01,  3.764263027879073e-01,  5.802968960863698e-03,  2.536347630968189e+01
105         ,  6.260542136940490e+01,  6.463879797203963e+01,  6.201550387596899e-01,  1.077464788732394e-02,  2.653205009541984e+01
61          ,  1.513414191693852e+02,  1.614188808166157e+02,  3.897736797988265e-01,  1.398124467178176e-02,  4.607432295373665e+01
141         ,  5.908637035915022e+01,  4.736093163993939e+01,  4.213327419891341e-01,  5.691056910569106e-03,  1.867127899772574e+01
79          ,  6.172344219415545e+01,  6.641732769680642e+01,  4.213327419891341e-01,  5.256648113790971e-03,  2.529536880312572e+01
