# c0 + a0 * ((ave:atomic_number / ave:heat_capacity_mass) / (ave:covalent_radius_slater - ave:covalent_radius_pyykko_triple)) + a1 * ((ave:gs_volume_per + min:gs_volume_per) * (ave:covalent_radius_pyykko_triple / ave:covalent_radius_pyykko))
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 8.74454068225498; Max AE: 26.163269798278
# Coefficients
# Task   a0                      a1                      c0
# all ,  4.703055176025950e+00,  3.087823476703262e+00, -1.160552846696167e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; J^-1 * K * g * pm^-1;                             20|21|div|23|18|sub|div; ((ave:atomic_number / ave:heat_capacity_mass) / (ave:covalent_radius_slater - ave:covalent_radius_pyykko_triple)); $\left(\frac{ \left(\frac{ ave:atomic_{number} }{ ave:heat_{capacity, mass} } \right) }{ \left(ave:covalent_{radius, slater} - ave:covalent_{radius, pyykko, triple}\right) } \right)$; ((ave:atomic_number ./ ave:heat_capacity_mass) ./ (ave:covalent_radius_slater - ave:covalent_radius_pyykko_triple)); ave:atomic_number,ave:heat_capacity_mass,ave:covalent_radius_slater,ave:covalent_radius_pyykko_triple
# 1;  2; cm^3 * mol^-1;                                    22|7|add|18|25|div|mult; ((ave:gs_volume_per + min:gs_volume_per) * (ave:covalent_radius_pyykko_triple / ave:covalent_radius_pyykko)); $\left(\left(ave:gs_{volume, per} + min:gs_{volume, per}\right) \left(\frac{ ave:covalent_{radius, pyykko, triple} }{ ave:covalent_{radius, pyykko} } \right)\right)$; ((ave:gs_volume_per + min:gs_volume_per) .* (ave:covalent_radius_pyykko_triple ./ ave:covalent_radius_pyykko)); ave:gs_volume_per,min:gs_volume_per,ave:covalent_radius_pyykko_triple,ave:covalent_radius_pyykko
# Number of Samples Per Task
# Task, n_mats_train            
# all , 104                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
27          ,  9.195581102005919e+01,  8.839390717031080e+01,  1.084992337914218e+00,  3.073253944808194e+01
69          ,  7.310044637476960e+01,  6.811370206880129e+01,  3.183654074602043e+00,  2.096827433628318e+01
125         ,  2.012029980198631e+02,  1.945330830105805e+02,  3.913567967309072e+00,  6.079780363370848e+01
73          ,  1.013508525385564e+02,  1.070161349993667e+02,  2.081319647841155e+00,  3.524589509235190e+01
11          ,  1.617034912836585e+02,  1.680722133899905e+02,  2.720468514729097e+00,  5.404558569705350e+01
119         ,  1.887146035400442e+02,  2.007366730468796e+02,  1.386364924075184e+01,  4.765191252144083e+01
110         ,  1.562326241405194e+02,  1.475983890062761e+02,  2.932837119257660e+00,  4.709162417351678e+01
113         ,  7.050822380170608e+01,  8.041170384173219e+01,  1.180329289080341e+00,  2.800227383094635e+01
55          ,  1.465164071687489e+02,  1.466647602208318e+02,  3.385234881309151e+00,  4.610022021374396e+01
45          ,  6.922252251530169e+01,  8.595353951945218e+01,  9.132417265418319e-01,  3.020381264055045e+01
9           ,  7.063457799019668e+01,  6.764479475974672e+01,  3.190885884466295e+00,  2.080540268456376e+01
4           ,  7.851117738952721e+01,  7.905323420271239e+01,  1.101966200901835e+00,  2.768168435456560e+01
26          ,  5.966202570927710e+01,  6.986248981155057e+01,  6.609886295577195e-01,  2.537688856703605e+01
124         ,  1.885207260436857e+02,  1.864562480309613e+02,  2.136997091321145e+00,  6.088798880017729e+01
31          ,  8.459240483249847e+01,  8.396187639828256e+01,  5.060596562712219e+00,  2.324198275862069e+01
98          ,  1.892571838929967e+02,  1.871466464209991e+02,  3.643936446676344e+00,  5.881636113318632e+01
16          ,  1.473017585346737e+02,  1.416237551568082e+02,  2.102659887224418e+00,  4.642116339849044e+01
10          ,  1.071503545301096e+02,  9.704088473654670e+01,  1.959105800917879e+00,  3.220152682830143e+01
