# c0 + a0 * (|(min:vdw_radius / ave:atomic_number) - (min:covalent_radius_cordero - min:covalent_radius_pyykko_triple)|) + a1 * ((ave:atomic_number * min:covalent_radius_pyykko_double) / (ave:covalent_radius_slater - ave:covalent_radius_pyykko_triple)) + a2 * ((min:vdw_radius * max:mendeleev_number) * (ave:gs_volume_per + min:gs_volume_per))
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 7.04426442113621; Max AE: 20.5830620225947
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -2.289358075802443e+00,  1.836196269348964e-01,  1.297653339082589e-04,  1.061249738068766e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; pm;                                               29|20|div|14|8|sub|abd; (|(min:vdw_radius / ave:atomic_number) - (min:covalent_radius_cordero - min:covalent_radius_pyykko_triple)|); $\left(\left|\left(\frac{ min:vdw_{radius} }{ ave:atomic_{number} } \right) - \left(min:covalent_{radius, cordero} - min:covalent_{radius, pyykko, triple}\right)\right|\right)$; abs((min:vdw_radius ./ ave:atomic_number) - (min:covalent_radius_cordero - min:covalent_radius_pyykko_triple)); min:vdw_radius,ave:atomic_number,min:covalent_radius_cordero,min:covalent_radius_pyykko_triple
# 1;  2; Unitless;                                         20|11|mult|23|18|sub|div; ((ave:atomic_number * min:covalent_radius_pyykko_double) / (ave:covalent_radius_slater - ave:covalent_radius_pyykko_triple)); $\left(\frac{ \left(ave:atomic_{number} min:covalent_{radius, pyykko, double}\right) }{ \left(ave:covalent_{radius, slater} - ave:covalent_{radius, pyykko, triple}\right) } \right)$; ((ave:atomic_number .* min:covalent_radius_pyykko_double) ./ (ave:covalent_radius_slater - ave:covalent_radius_pyykko_triple)); ave:atomic_number,min:covalent_radius_pyykko_double,ave:covalent_radius_slater,ave:covalent_radius_pyykko_triple
# 2;  2; cm^3 * mol^-1 * pm;                               29|24|mult|22|7|add|mult; ((min:vdw_radius * max:mendeleev_number) * (ave:gs_volume_per + min:gs_volume_per)); $\left(\left(min:vdw_{radius} max:mendeleev_{number}\right) \left(ave:gs_{volume, per} + min:gs_{volume, per}\right)\right)$; ((min:vdw_radius .* max:mendeleev_number) .* (ave:gs_volume_per + min:gs_volume_per)); min:vdw_radius,max:mendeleev_number,ave:gs_volume_per,min:gs_volume_per
# Number of Samples Per Task
# Task, n_mats_train            
# all , 104                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
27          ,  9.195581102005919e+01,  8.272333125670309e+01,  5.083333333333335e+00,  4.607419962952725e+01,  5.801879013435681e+05
69          ,  7.310044637476960e+01,  7.311958808889081e+01,  1.485074626865672e+00,  1.145797101449275e+02,  3.457616400000000e+05
125         ,  2.012029980198631e+02,  1.874719894147871e+02,  5.852017937219731e+00,  1.632944061495645e+02,  1.235097185000000e+06
73          ,  1.013508525385564e+02,  1.049249090426933e+02,  1.610687022900763e+00,  7.237705822581702e+01,  6.527937780000000e+05
11          ,  1.617034912836585e+02,  1.632117522649204e+02,  2.613138686131387e+00,  1.050835373184408e+02,  1.073370375000000e+06
119         ,  1.887146035400442e+02,  1.992090028272055e+02,  4.192307692307693e+00,  4.741368040337130e+02,  8.564180625000001e+05
110         ,  1.562326241405194e+02,  1.505577827571991e+02,  4.590643274853802e+00,  1.543411399683582e+02,  9.410436933454198e+05
113         ,  7.050822380170608e+01,  7.940611421645929e+01,  3.989130434782609e+00,  4.566953691895436e+01,  5.358930569999999e+05
55          ,  1.465164071687489e+02,  1.514607009115137e+02,  5.079787234042553e+00,  1.497363863170426e+02,  9.631471849999999e+05
45          ,  6.922252251530169e+01,  7.969520797992239e+01,  5.671052631578949e+00,  4.157478165578097e+01,  5.735879730000000e+05
9           ,  7.063457799019668e+01,  7.287807886426941e+01,  1.444444444444445e+00,  1.137857142857143e+02,  3.443072220000000e+05
4           ,  7.851117738952721e+01,  7.838163797053755e+01,  4.258426966292134e+00,  4.309260867950645e+01,  5.363956145265480e+05
26          ,  5.966202570927710e+01,  7.191400195768503e+01,  4.162790697674419e+00,  3.806936602417216e+01,  4.919753093435679e+05
124         ,  1.885207260436857e+02,  1.930237326027738e+02,  4.290123456790123e+00,  1.132984569888280e+02,  1.321069645000000e+06
31          ,  8.459240483249847e+01,  8.705732550061626e+01,  7.419354838709680e-01,  1.693518518518519e+02,  3.625549200000000e+05
98          ,  1.892571838929967e+02,  1.887192051679741e+02,  5.182291666666666e+00,  1.576046240424878e+02,  1.240944110000000e+06
16          ,  1.473017585346737e+02,  1.460675597197375e+02,  2.566176470588236e+00,  8.113954238810308e+01,  9.743060250000001e+05
10          ,  1.071503545301096e+02,  9.674306968142263e+01,  1.068965517241379e+00,  6.852011720826299e+01,  5.856431490000000e+05
93          ,  1.586721939022781e+02,  1.592345076241897e+02,  1.708333333333333e+00,  9.058126212466900e+01,  1.047278925000000e+06
