# FEAT_ID     Score                   Feature Expression
0             0.946669754169630506    ((ave:gs_volume_per + min:gs_volume_per) * (ave:covalent_radius_pyykko_triple / ave:covalent_radius_pyykko))
1             0.944260231821009821    ((max:mendeleev_number * ave:covalent_radius_pyykko_triple) * cbrt(min:gs_volume_per))
2             0.943797601639158379    ((ave:gs_volume_per + min:gs_volume_per) * (min:covalent_radius_pyykko_triple / ave:covalent_radius_slater))
3             0.943088144470625056    ((ave:gs_volume_per + min:gs_volume_per) * (min:covalent_radius_pyykko_double / ave:covalent_radius_slater))
4             0.942674660796204322    ((ave:gs_volume_per + min:gs_volume_per) * (min:covalent_radius_pyykko / ave:covalent_radius_pyykko))
5             0.942647262068335268    ((ave:gs_volume_per + min:gs_volume_per) * (min:covalent_radius_pyykko_double / ave:covalent_radius_pyykko))
6             0.942639659010655717    ((ave:covalent_radius_pyykko_triple^2) * cbrt(min:gs_volume_per))
7             0.942291727184558003    ((ave:covalent_radius_pyykko_double + ave:covalent_radius_pyykko_triple) * cbrt(min:gs_volume_per))
8             0.942228014803221381    ((ave:gs_volume_per + min:gs_volume_per) * (min:covalent_radius_pyykko_triple / ave:covalent_radius_pyykko))
9             0.941893619474017174    ((ave:gs_volume_per + min:gs_volume_per) * (min:covalent_radius_pyykko / ave:covalent_radius_slater))
10            0.940933871170885228    (cbrt(min:gs_volume_per) * ave:covalent_radius_pyykko_triple)
11            0.940832432321423329    ((ave:covalent_radius_pyykko_double * ave:covalent_radius_pyykko_triple) * cbrt(min:gs_volume_per))
12            0.940157325112795039    ((ave:gs_volume_per + min:gs_volume_per) * (ave:covalent_radius_pyykko_triple / ave:covalent_radius_slater))
13            0.937219557797929426    ((ave:covalent_radius_pyykko_triple^2) * sqrt(min:gs_volume_per))
14            0.936654942252923339    ((ave:covalent_radius_pyykko_triple / max:mendeleev_number) * cbrt(min:gs_volume_per))
15            0.93569717004770836     ((ave:gs_volume_per + min:gs_volume_per) * (min:covalent_radius_pyykko_triple / ave:covalent_radius_pyykko_double))
16            0.934750574941685342    ((ave:gs_volume_per + min:gs_volume_per) * (min:covalent_radius_pyykko_double / ave:covalent_radius_pyykko_double))
17            0.9345241235246734      ((max:en_ghosh * min:covalent_radius_pyykko_triple) * (ave:gs_volume_per + min:gs_volume_per))
18            0.934227030697948546    ((ave:gs_volume_per + min:gs_volume_per) * cbrt(min:fusion_enthalpy))
19            0.934078295407101633    ((ave:covalent_radius_pyykko_double * ave:covalent_radius_pyykko_triple) * sqrt(min:gs_volume_per))
20            0.933629434112540846    ((ave:covalent_radius_pyykko_double + min:covalent_radius_pyykko_double) * cbrt(min:gs_volume_per))
21            0.933447925479930718    ((ave:covalent_radius_pyykko + ave:covalent_radius_pyykko_triple) * cbrt(min:gs_volume_per))
22            0.933381293214279206    ((ave:covalent_radius_pyykko_triple^3) * cbrt(min:gs_volume_per))
