# FEAT_ID     Feature Postfix Expression (RPN)
0             22|7|add|18|29|div|mult
1             24|18|mult|7|cbrt|mult
2             22|7|add|8|23|div|mult
3             22|7|add|11|23|div|mult
4             22|7|add|13|29|div|mult
5             22|7|add|11|29|div|mult
6             18|sq|7|cbrt|mult
7             26|18|add|7|cbrt|mult
8             22|7|add|8|29|div|mult
9             22|7|add|13|23|div|mult
10            7|cbrt|18|mult
11            26|18|mult|7|cbrt|mult
12            22|7|add|18|23|div|mult
13            18|sq|7|sqrt|mult
14            18|24|div|7|cbrt|mult
15            22|7|add|8|26|div|mult
16            22|7|add|11|26|div|mult
17            28|8|mult|22|7|add|mult
18            22|7|add|4|cbrt|mult
19            26|18|mult|7|sqrt|mult
20            26|11|add|7|cbrt|mult
21            29|18|add|7|cbrt|mult
22            18|cb|7|cbrt|mult
23            24|18|mult|7|sqrt|mult
24            26|8|add|7|cbrt|mult
25            26|24|mult|7|cbrt|mult
26            23|18|add|7|cbrt|mult
27            7|cbrt|26|mult
28            22|7|add|8|27|div|mult
29            25|7|mult|22|18|mult|add
30            22|7|add|19|29|div|mult
31            18|11|add|7|cbrt|mult
32            26|13|add|7|cbrt|mult
33            29|18|mult|7|cbrt|mult
34            22|7|add|13|26|div|mult
35            25|18|mult|7|cbrt|mult
36            22|18|mult|19|7|mult|add
37            26|18|add|7|sqrt|mult
38            7|sqrt|18|mult
39            22|7|add|8|19|div|mult
40            18|8|add|7|cbrt|mult
41            26|24|div|7|cbrt|mult
42            18|13|add|7|cbrt|mult
43            22|7|add|18|26|div|mult
44            27|7|mult|22|18|mult|add
45            22|4|mult|21|5|mult|div
46            19|18|mult|7|cbrt|mult
47            22|7|add|18|8|add|mult
48            22|8|mult|18|7|mult|add
49            24|18|mult|22|7|add|mult
50            22|7|add|18|mult
51            26|25|mult|7|cbrt|mult
52            22|4|mult|7|sqrt|mult
53            18|24|div|7|sqrt|mult
54            22|12|div|22|7|add|abd
55            22|7|add|18|24|div|mult
56            26|8|add|7|sqrt|mult
57            23|18|mult|7|cbrt|mult
58            22|7|add|17|8|mult|mult
59            22|7|add|18|11|add|mult
60            22|7|add|8|sqrt|mult
61            22|11|mult|18|7|mult|add
62            22|7|add|10|23|div|mult
63            25|18|mult|7|sqrt|mult
64            25|7|mult|22|8|mult|add
65            27|18|mult|7|cbrt|mult
66            22|7|add|14|23|div|mult
67            18|8|add|7|sqrt|mult
68            28|10|mult|22|7|add|mult
69            22|7|add|11|27|div|mult
70            28|13|mult|22|7|add|mult
71            22|7|add|18|13|add|mult
72            22|7|add|8|25|div|mult
73            28|11|mult|22|7|add|mult
74            22|13|mult|18|7|mult|add
75            26|19|mult|7|cbrt|mult
76            18|cb|7|sqrt|mult
77            22|7|add|13|27|div|mult
78            29|11|add|7|cbrt|mult
79            29|8|add|7|cbrt|mult
80            19|18|mult|7|sqrt|mult
81            22|7|add|14|29|div|mult
82            25|18|mult|22|7|add|mult
83            18|27|div|7|cbrt|mult
84            22|18|mult|8|7|mult|add
85            26|11|add|7|sqrt|mult
86            18|11|add|7|sqrt|mult
87            25|7|mult|22|13|mult|add
88            25|29|div|22|7|add|mult
89            25|7|mult|22|11|mult|add
90            24|8|mult|22|7|add|mult
91            22|7|add|10|29|div|mult
92            22|7|add|17|10|mult|mult
93            22|7|add|11|19|div|mult
94            18|25|div|7|cbrt|mult
95            25|8|add|22|7|add|mult
96            18|sqrt|7|cbrt|mult
97            22|8|mult|19|7|mult|add
98            23|11|add|7|cbrt|mult
99            22|18|mult|13|7|mult|add
100           22|18|mult|11|7|mult|add
101           26|23|add|7|cbrt|mult
102           25|18|add|22|7|add|mult
103           23|8|add|7|cbrt|mult
104           26|24|mult|7|sqrt|mult
105           22|7|add|11|sqrt|mult
106           26|13|add|7|sqrt|mult
107           22|7|add|18|10|add|mult
108           29|26|add|7|cbrt|mult
109           7|sqrt|26|mult
110           27|26|mult|7|cbrt|mult
111           22|13|mult|19|7|mult|add
112           27|29|div|22|7|add|mult
113           26|sqrt|7|cbrt|mult
114           22|7|add|18|sq|mult
115           18|13|add|7|sqrt|mult
