# c0 + a0 * (|(min:vdw_radius_alvarez / ave:atomic_number) - (min:covalent_radius_cordero - min:covalent_radius_pyykko_triple)|) + a1 * ((ave:atomic_number * min:covalent_radius_pyykko_double) / (ave:covalent_radius_slater - ave:covalent_radius_pyykko_triple)) + a2 * ((min:vdw_radius_mm3 * max:mendeleev_number) * (ave:gs_volume_per + min:gs_volume_per))
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 7.14463966453088; Max AE: 21.4086449407239
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -2.500465349471829e+00,  1.804978995172481e-01,  1.083323549530162e-04,  1.262506935451447e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; pm;                                               25|20|div|14|8|sub|abd; (|(min:vdw_radius_alvarez / ave:atomic_number) - (min:covalent_radius_cordero - min:covalent_radius_pyykko_triple)|); $\left(\left|\left(\frac{ min:vdw_{radius, alvarez} }{ ave:atomic_{number} } \right) - \left(min:covalent_{radius, cordero} - min:covalent_{radius, pyykko, triple}\right)\right|\right)$; abs((min:vdw_radius_alvarez ./ ave:atomic_number) - (min:covalent_radius_cordero - min:covalent_radius_pyykko_triple)); min:vdw_radius_alvarez,ave:atomic_number,min:covalent_radius_cordero,min:covalent_radius_pyykko_triple
# 1;  2; Unitless;                                         20|11|mult|23|18|sub|div; ((ave:atomic_number * min:covalent_radius_pyykko_double) / (ave:covalent_radius_slater - ave:covalent_radius_pyykko_triple)); $\left(\frac{ \left(ave:atomic_{number} min:covalent_{radius, pyykko, double}\right) }{ \left(ave:covalent_{radius, slater} - ave:covalent_{radius, pyykko, triple}\right) } \right)$; ((ave:atomic_number .* min:covalent_radius_pyykko_double) ./ (ave:covalent_radius_slater - ave:covalent_radius_pyykko_triple)); ave:atomic_number,min:covalent_radius_pyykko_double,ave:covalent_radius_slater,ave:covalent_radius_pyykko_triple
# 2;  2; cm^3 * mol^-1 * pm;                               27|24|mult|22|7|add|mult; ((min:vdw_radius_mm3 * max:mendeleev_number) * (ave:gs_volume_per + min:gs_volume_per)); $\left(\left(min:vdw_{radius, mm3} max:mendeleev_{number}\right) \left(ave:gs_{volume, per} + min:gs_{volume, per}\right)\right)$; ((min:vdw_radius_mm3 .* max:mendeleev_number) .* (ave:gs_volume_per + min:gs_volume_per)); min:vdw_radius_mm3,max:mendeleev_number,ave:gs_volume_per,min:gs_volume_per
# Number of Samples Per Task
# Task, n_mats_train            
# all , 104                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
27          ,  9.195581102005919e+01,  8.322854465879638e+01,  5.187500000000001e+00,  4.607419962952725e+01,  6.946986713455881e+05
69          ,  7.310044637476960e+01,  7.325901914617452e+01,  1.447761194029852e+00,  1.145797101449275e+02,  4.022125200000000e+05
125         ,  2.012029980198631e+02,  1.880838468126949e+02,  5.829596412556054e+00,  1.632944061495645e+02,  1.482116622000000e+06
73          ,  1.013508525385564e+02,  1.040215422516986e+02,  1.572519083969466e+00,  7.237705822581702e+01,  7.593723540000001e+05
11          ,  1.617034912836585e+02,  1.632406738230696e+02,  2.357664233576643e+00,  1.050835373184408e+02,  1.269643815000000e+06
119         ,  1.887146035400442e+02,  1.979467714869869e+02,  4.000000000000001e+00,  4.741368040337130e+02,  1.013020222500000e+06
110         ,  1.562326241405194e+02,  1.514122648058093e+02,  4.561403508771931e+00,  1.543411399683582e+02,  1.129252432014504e+06
113         ,  7.050822380170608e+01,  7.856238913616561e+01,  3.934782608695653e+00,  4.566953691895436e+01,  6.233858010000000e+05
55          ,  1.465164071687489e+02,  1.522248456035510e+02,  5.053191489361702e+00,  1.497363863170426e+02,  1.155776622000000e+06
45          ,  6.922252251530169e+01,  7.839660148070418e+01,  5.605263157894738e+00,  4.157478165578097e+01,  6.672349890000001e+05
9           ,  7.063457799019668e+01,  7.303332311182676e+01,  1.407407407407407e+00,  1.137857142857143e+02,  4.005206460000000e+05
4           ,  7.851117738952721e+01,  7.749180501409991e+01,  4.202247191011235e+00,  4.309260867950645e+01,  6.239704087349640e+05
26          ,  5.966202570927710e+01,  7.261280203207247e+01,  4.279069767441861e+00,  3.806936602417216e+01,  5.890756993455880e+05
124         ,  1.885207260436857e+02,  1.941625755071025e+02,  4.259259259259259e+00,  1.132984569888280e+02,  1.585283574000000e+06
31          ,  8.459240483249847e+01,  8.710710546721904e+01,  7.096774193548390e-01,  1.693518518518519e+02,  4.217475600000000e+05
98          ,  1.892571838929967e+02,  1.895006258518247e+02,  5.156250000000000e+00,  1.576046240424878e+02,  1.489132932000000e+06
16          ,  1.473017585346737e+02,  1.463466833161018e+02,  2.308823529411764e+00,  8.113954238810308e+01,  1.152464841000000e+06
10          ,  1.071503545301096e+02,  9.620844043795715e+01,  1.034482758620690e+00,  6.852011720826299e+01,  6.812583570000001e+05
93          ,  1.586721939022781e+02,  1.596325726675898e+02,  1.416666666666667e+00,  9.058126212466900e+01,  1.238781357000000e+06
111         ,  9.534692245017716e+01,  9.329814307881081e+01,  1.214285714285714e+00,  1.966666666666665e+02,  4.450326300000000e+05
118         ,  5.345461156622450e+01,  6.203038765515827e+01,  2.285714285714286e+00,  3.764150943396226e+01,  4.460943760000000e+05
127         ,  1.258768321724361e+02,  1.472854771131600e+02,  4.630681818181818e+00,  1.451228070175439e+02,  1.108116826250000e+06
0           ,  1.324521624992106e+02,  1.339911936464378e+02,  1.222222222222221e+00,  8.768196594641775e+01,  1.002432172513662e+06
84          ,  1.874396857101914e+02,  1.771353992433984e+02,  4.159574468085107e+00,  1.330311697205568e+02,  1.392929703000000e+06
28          ,  9.362157646373184e+01,  9.305259241698570e+01,  3.849462365591399e+00,  3.271584019411144e+01,  7.767562139883720e+05
40          ,  1.876581343779474e+02,  1.847469017011028e+02,  5.130890052356022e+00,  1.766510056633426e+02,  1.412932542000000e+06
86          ,  6.540869502383295e+01,  7.082618643743285e+01,  6.534482758620690e+00,  5.095366674059667e+01,  6.031746933455882e+05
24          ,  9.809953691058023e+01,  8.787597769444444e+01,  6.421052631578948e+00,  5.004087532517449e+01,  7.594615209999999e+05
25          ,  1.397570909097410e+02,  1.499283833588996e+02,  3.052287581699346e+00,  9.639362365135653e+01,  1.177271617500000e+06
23          ,  1.776115625775598e+02,  1.769040921797333e+02,  3.166666666666667e+00,  1.052646666031216e+02,  1.414139958000000e+06
115         ,  1.348472579215662e+02,  1.401856492522080e+02,  2.259259259259260e+00,  9.303331457081499e+01,  1.074632427000000e+06
67          ,  1.178407975639319e+02,  1.274233601827836e+02,  1.222222222222221e+00,  8.559623410885109e+01,  9.452806110000000e+05
44          ,  1.408716465187509e+02,  1.441445427875602e+02,  4.561403508771931e+00,  1.504918979699131e+02,  1.068578574000000e+06
15          ,  1.304908476901080e+02,  1.238701915482235e+02,  9.469026548672570e-01,  7.069297518453372e+01,  9.309581240418360e+05
95          ,  7.035268214247002e+01,  6.792661623086335e+01,  6.801652892561984e+00,  5.945689655172414e+01,  5.684082040000000e+05
39          ,  6.690965549992833e+01,  6.572233054261534e+01,  5.718446601941748e+00,  5.289189189189189e+01,  5.339971000000000e+05
22          ,  8.942508557141944e+01,  7.985063458775680e+01,  6.794871794871797e-01,  1.221045714188686e+02,  4.327883460000000e+05
68          ,  1.728438327749059e+02,  1.672549019628263e+02,  2.106060606060606e+00,  3.058536585365853e+02,  9.663781544999998e+05
80          ,  1.635560662373134e+02,  1.694249157747530e+02,  5.507246376811594e+00,  1.558347569254053e+02,  1.314867372000000e+06
140         ,  9.231264108905833e+01,  8.558747151026152e+01,  4.690476190476190e+00,  3.758707264988343e+01,  7.191423810000002e+05
