# FEAT_ID     Score                   Feature Expression
0             0.856429926365969707    (min:covalent_radius_pyykko_double / max:en_allen)
1             0.856464365186787702    (min:covalent_radius_pyykko_triple * max:period)
2             0.856525831330007703    (min:covalent_radius_cordero + ave:covalent_radius_slater)
3             0.856526823204925791    (min:melting_point * max:electron_affinity)
4             0.856544987496009935    (ave:en_allen / ave:num_p_valence)
5             0.856667349588665417    (min:covalent_radius_pyykko_double * ave:atomic_number)
6             0.856712410163100735    (max:mendeleev_number * ave:vdw_radius_uff)
7             0.856914906042571478    (min:period * min:covalent_radius_slater)
8             0.8569350296349737      (min:atomic_radius / ave:heat_capacity_mass)
9             0.856948340829753463    (sum:atomic_radius / sum:heat_capacity_mass)
10            0.857051674024701504    (min:vdw_radius_alvarez + ave:covalent_radius_slater)
11            0.857056176726995633    (min:period * ave:atomic_radius_rahm)
12            0.857123054680253182    (min:atomic_radius_rahm + ave:vdw_radius_mm3)
13            0.857255920641253222    (min:period * ave:vdw_radius_alvarez)
14            0.857375732020020043    (min:covalent_radius_pyykko_double * ave:lattice_constant)
15            0.857590634220369186    (min:vdw_radius + min:covalent_radius_pyykko)
16            0.857603962917964924    (min:atomic_radius_rahm^6)
17            0.857719159533133046    (min:Polarizability * ave:electron_affinity)
18            0.857771683752153624    (min:period * min:atomic_radius_rahm)
19            0.857816534718821577    (min:fusion_enthalpy * ave:molar_volume)
20            0.857904332234698752    (min:vdw_radius_alvarez / min:covalent_radius_pyykko)
21            0.858055054993086874    (ave:covalent_radius_pyykko / ave:heat_capacity_mass)
22            0.858095127866217888    (ave:covalent_radius_pyykko_double / max:en_allen)
23            0.85815943583026888     cbrt(min:covalent_radius_pyykko)
24            0.858180815492398996    (min:vdw_radius_mm3 * ave:covalent_radius_pyykko)
25            0.858196930843027839    (min:covalent_radius_slater + ave:covalent_radius_slater)
26            0.8582455519842761      (ave:covalent_radius_pyykko_double^2)
27            0.858260010256983397    (min:period * min:dipole_polarizability)
28            0.858270111380868395    (min:vdw_radius_mm3 * ave:period)
29            0.858272522565797558    (min:gs_est_bcc_latcnt / max:mendeleev_number)
30            0.858575651232374226    (min:covalent_radius_slater * ave:atomic_volume)
31            0.858575850153119102    (min:covalent_radius_slater^3)
