# c0 + a0 * (ave:vdw_radius_uff * ave:covalent_radius_pyykko_triple)
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 13.0523018603341; Max AE: 41.5948154270093
# Coefficients
# Task   a0                      c0
# all ,  5.366329422426467e-03, -8.007254344265355e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; pm^2;                                             55|11|mult; (ave:vdw_radius_uff * ave:covalent_radius_pyykko_triple); $\left(ave:vdw_{radius, uff} ave:covalent_{radius, pyykko, triple}\right)$; (ave:vdw_radius_uff .* ave:covalent_radius_pyykko_triple); ave:vdw_radius_uff,ave:covalent_radius_pyykko_triple
# Number of Samples Per Task
# Task, n_samples               
# all , 103                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
64          ,  9.806170819706537e+01,  7.054354441626518e+01,  2.806687327644813e+04
27          ,  9.195581102005919e+01,  9.002451042283816e+01,  3.169709506737284e+04
69          ,  7.310044637476960e+01,  7.300223945055598e+01,  2.852504400000000e+04
125         ,  2.012029980198631e+02,  2.002958744844372e+02,  5.224584550389341e+04
73          ,  1.013508525385564e+02,  1.075132886737951e+02,  3.495607841973088e+04
11          ,  1.617034912836585e+02,  1.680573466294681e+02,  4.623828888237092e+04
119         ,  1.887146035400442e+02,  1.684477960231508e+02,  4.631104800000000e+04
113         ,  7.050822380170608e+01,  6.665429041203188e+01,  2.734212201761194e+04
55          ,  1.465164071687489e+02,  1.650184913215820e+02,  4.567200696624658e+04
45          ,  6.922252251530169e+01,  7.787885558722608e+01,  2.943378734257047e+04
9           ,  7.063457799019668e+01,  7.041983294057822e+01,  2.804382000000000e+04
4           ,  7.851117738952721e+01,  6.848484329975132e+01,  2.768324026504366e+04
31          ,  8.459240483249847e+01,  8.829715838249672e+01,  3.137520800000000e+04
98          ,  1.892571838929967e+02,  1.937999579173994e+02,  5.103535019961884e+04
36          ,  1.804786609572536e+02,  1.832049139453270e+02,  4.906099433398848e+04
10          ,  1.071503545301096e+02,  9.919638034317414e+01,  3.340624655591280e+04
93          ,  1.586721939022781e+02,  1.519342153187948e+02,  4.323378989591417e+04
111         ,  9.534692245017716e+01,  8.989278277296098e+01,  3.167254800000000e+04
42          ,  1.922420330482679e+02,  1.908599223054323e+02,  5.048748304862351e+04
118         ,  5.345461156622450e+01,  6.210371809591472e+01,  2.649413600000000e+04
127         ,  1.258768321724361e+02,  1.460784020829899e+02,  4.214257600000000e+04
96          ,  9.458888504929534e+01,  1.001631001400953e+02,  3.358639200000000e+04
60          ,  6.700355961656858e+01,  7.457717073062499e+01,  2.881852789860063e+04
0           ,  1.324521624992106e+02,  1.431962148375957e+02,  4.160548872515823e+04
84          ,  1.874396857101914e+02,  1.722967899892343e+02,  4.702829691692226e+04
28          ,  9.362157646373184e+01,  7.938909270863816e+01,  2.971521567142047e+04
40          ,  1.876581343779474e+02,  2.000270633265656e+02,  5.219575332044523e+04
86          ,  6.540869502383295e+01,  7.574718456377035e+01,  2.903655659960727e+04
24          ,  9.809953691058023e+01,  9.435985775713922e+01,  3.250497453078841e+04
67          ,  1.178407975639319e+02,  1.454387085960381e+02,  4.202337096493851e+04
44          ,  1.408716465187509e+02,  1.759435461527193e+02,  4.770785940301282e+04
15          ,  1.304908476901080e+02,  1.323446491325994e+02,  3.958333077494996e+04
39          ,  6.690965549992833e+01,  7.371967476369903e+01,  2.865873600000000e+04
22          ,  8.942508557141944e+01,  7.563698452852513e+01,  2.901602114108982e+04
68          ,  1.728438327749059e+02,  1.580803480934705e+02,  4.437910400000000e+04
80          ,  1.635560662373134e+02,  1.892770436667157e+02,  5.019251818267592e+04
140         ,  9.231264108905833e+01,  8.361205405846849e+01,  3.050215233098932e+04
47          ,  5.673059181818780e+01,  6.766817240061718e+01,  2.753105600000000e+04
30          ,  1.575095787725395e+02,  1.445411028013246e+02,  4.185610471569144e+04
112         ,  7.423809586689029e+01,  8.001407866175762e+01,  2.983168000000000e+04
76          ,  6.221586353440775e+01,  6.757456215017235e+01,  2.751361200000000e+04
137         ,  2.091771198782973e+02,  1.995041181710649e+02,  5.209830400000000e+04
33          ,  9.639831336185570e+01,  6.645943478253676e+01,  2.730581123343220e+04
81          ,  6.779890223639997e+01,  6.264864249911663e+01,  2.659568108981961e+04
62          ,  1.284855607921225e+02,  1.427942398827832e+02,  4.153058185247677e+04
139         ,  7.773399964038569e+01,  7.332995045572471e+01,  2.858611200000000e+04
135         ,  8.871171279800387e+01,  6.622795874574051e+01,  2.726267634204277e+04
53          ,  1.912036606685361e+02,  2.109463205873256e+02,  5.423052539670414e+04
85          ,  6.604743166171670e+01,  7.368896276385651e+01,  2.865301290746786e+04
109         ,  1.156360400954843e+02,  1.022281583631510e+02,  3.397120963986116e+04
49          ,  7.517971112473752e+01,  8.033899917562670e+01,  2.989222800000000e+04
35          ,  1.142981641844795e+02,  1.011048813300462e+02,  3.376189020665408e+04
34          ,  6.288448403712296e+01,  7.567546436560347e+01,  2.902319174767195e+04
131         ,  7.332445965687805e+01,  9.555239283098189e+01,  3.272720000000000e+04
7           ,  6.154031610112789e+01,  7.083499365001485e+01,  2.812118400000000e+04
43          ,  9.003176998171779e+01,  9.114895036701911e+01,  3.190663120570267e+04
70          ,  5.876522370994315e+01,  5.367336535212245e+01,  2.492316409720162e+04
89          ,  1.845971359160373e+02,  1.673725982600735e+02,  4.611068800000000e+04
123         ,  2.218543389191891e+02,  2.160719937085083e+02,  5.518567978953027e+04
129         ,  7.058438955216727e+01,  7.956517691476554e+01,  2.974802845503221e+04
8           ,  1.379771288780131e+02,  1.291158425429242e+02,  3.898165198568635e+04
13          ,  6.359044555550145e+01,  5.753437484256831e+01,  2.564265207241057e+04
108         ,  2.276117669121919e+02,  2.272979559315997e+02,  5.727760545033239e+04
3           ,  1.766257549836612e+02,  1.786854180650094e+02,  4.821879932049748e+04
38          ,  2.142336089710759e+02,  2.045737358172033e+02,  5.304301261683442e+04
120         ,  2.717063705144595e+02,  2.301115550874502e+02,  5.780191153264112e+04
101         ,  6.465769186928596e+01,  6.936384663683316e+01,  2.784704000000000e+04
2           ,  5.771548700058894e+01,  6.982277512903906e+01,  2.793256000000000e+04
122         ,  2.014000729838491e+02,  1.927537684512961e+02,  5.084039581203852e+04
54          ,  8.998190321387162e+01,  7.935153179500189e+01,  2.970821630356965e+04
50          ,  1.144884087492389e+02,  1.403296625255350e+02,  4.107131497501888e+04
104         ,  1.531720861969143e+02,  1.467981611941889e+02,  4.227670103306096e+04
46          ,  6.638274984747244e+01,  6.590095978410973e+01,  2.720174102930103e+04
105         ,  6.260542136940490e+01,  7.392857523545523e+01,  2.869766400000000e+04
61          ,  1.513414191693852e+02,  1.584956590601310e+02,  4.445649600000000e+04
141         ,  5.908637035915022e+01,  5.553556674906600e+01,  2.527017995298587e+04
79          ,  6.172344219415545e+01,  7.245908993757561e+01,  2.842382965585063e+04
41          ,  8.588925575648324e+01,  8.276838796827013e+01,  3.034493759000220e+04
58          ,  2.413589823761019e+02,  2.238874434865095e+02,  5.664206629933706e+04
90          ,  1.323141358213091e+02,  1.548476712494009e+02,  4.377670400000001e+04
88          ,  1.252802886728060e+02,  1.376796099159384e+02,  4.057748531958965e+04
126         ,  7.603223118739854e+01,  7.948523762983631e+01,  2.973313199999999e+04
21          ,  7.298106977000764e+01,  8.087621168144695e+01,  2.999233600000000e+04
57          ,  1.280373015126955e+02,  1.273906369763765e+02,  3.866016490750999e+04
75          ,  9.416246053996997e+01,  7.837183630402177e+01,  2.952565287634398e+04
32          ,  2.470528593513509e+02,  2.375002013241949e+02,  5.917876443434089e+04
138         ,  6.719447744045841e+01,  7.538086798773773e+01,  2.896829456289709e+04
59          ,  7.370978119031361e+01,  6.651869978745790e+01,  2.731685509605335e+04
63          ,  9.527186437700378e+01,  7.587696194172223e+01,  2.906074023943556e+04
37          ,  6.740982957627959e+01,  7.585914444314972e+01,  2.905742000000000e+04
29          ,  7.604393505755419e+01,  6.445556828700363e+01,  2.693239649538821e+04
107         ,  5.684900711217347e+01,  5.403138810487357e+01,  2.498988060388026e+04
134         ,  2.189143114936079e+02,  1.967301137483050e+02,  5.158137628192757e+04
1           ,  6.589429488532184e+01,  7.707006740997909e+01,  2.928307200000000e+04
52          ,  1.685536482338435e+02,  1.619000503946502e+02,  4.509089449970669e+04
130         ,  7.583037174302696e+01,  7.118573292436930e+01,  2.818654325150042e+04
99          ,  1.103591846419842e+02,  1.079999376044770e+02,  3.504676404343638e+04
116         ,  6.928383831454539e+01,  8.333347538929374e+01,  3.045024000000000e+04
121         ,  7.759315330331438e+01,  7.380802601130986e+01,  2.867520000000000e+04
20          ,  1.126975075036733e+02,  9.668617644884917e+01,  3.293847730495431e+04
106         ,  2.038799354056747e+02,  2.112196901214426e+02,  5.428146702040963e+04
14          ,  1.651217664757107e+02,  1.811729024109563e+02,  4.868233484918706e+04
92          ,  7.315017953780705e+01,  7.661260571681869e+01,  2.919782533376877e+04
