# c0 + a0 * (min:gs_est_bcc_latcnt * ave:period) + a1 * (ave:num_p_valence * ave:covalent_radius_pyykko)
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 7.67563324301578; Max AE: 22.3914642596451
# Coefficients
# Task   a0                      a1                      c0
# all ,  8.041087363870441e+00,  3.280985410464536e-01, -8.556624220483768e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; AA;                                               256|49|mult; (min:gs_est_bcc_latcnt * ave:period); $\left(min:gs_{est, bcc, latcnt} ave:period\right)$; (min:gs_est_bcc_latcnt .* ave:period); min:gs_est_bcc_latcnt,ave:period
# 1;  1; pm;                                               46|9|mult; (ave:num_p_valence * ave:covalent_radius_pyykko); $\left(ave:num_{p, valence} ave:covalent_{radius, pyykko}\right)$; (ave:num_p_valence .* ave:covalent_radius_pyykko); ave:num_p_valence,ave:covalent_radius_pyykko
# Number of Samples Per Task
# Task, n_samples               
# all , 103                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
64          ,  9.806170819706537e+01,  9.323401239181925e+01,  9.138145078600001e+00,  3.210000000000000e+02
27          ,  9.195581102005919e+01,  9.346892825235800e+01,  7.892681361000001e+00,  3.522400000000000e+02
69          ,  7.310044637476960e+01,  7.850433708625249e+01,  8.600607132800000e+00,  2.892800000000000e+02
125         ,  2.012029980198631e+02,  2.002361211534338e+02,  1.736757019480000e+01,  4.454400000000000e+02
73          ,  1.013508525385564e+02,  1.067647962245750e+02,  9.138145078600001e+00,  3.622400000000001e+02
11          ,  1.617034912836585e+02,  1.621606896532986e+02,  1.385980736260000e+01,  4.153600000000001e+02
119         ,  1.887146035400442e+02,  1.694700033312231e+02,  1.458927090800000e+01,  4.197600000000000e+02
113         ,  7.050822380170608e+01,  8.006147335823168e+01,  8.063069187000000e+00,  3.072000000000000e+02
55          ,  1.465164071687489e+02,  1.551987032643440e+02,  1.349016728840000e+01,  4.031999999999999e+02
45          ,  6.922252251530169e+01,  8.144799838886669e+01,  7.525531241199999e+00,  3.246000000000000e+02
9           ,  7.063457799019668e+01,  7.745442175490383e+01,  8.600607132800000e+00,  2.860800000000000e+02
4           ,  7.851117738952721e+01,  8.183320547988251e+01,  8.063069187000000e+00,  3.126000000000000e+02
31          ,  8.459240483249847e+01,  8.534652346506250e+01,  9.138145078600001e+00,  2.969600000000000e+02
98          ,  1.892571838929967e+02,  1.962733581461444e+02,  1.576655296920000e+01,  4.726000000000000e+02
36          ,  1.804786609572536e+02,  1.856022662515245e+02,  1.504989147060000e+01,  4.576400000000000e+02
10          ,  1.071503545301096e+02,  1.025651348991804e+02,  9.138145078600001e+00,  3.494400000000000e+02
93          ,  1.586721939022781e+02,  1.582742377338083e+02,  1.289990697480000e+01,  4.270400000000000e+02
111         ,  9.534692245017716e+01,  9.154953507825948e+01,  8.600607132800000e+00,  3.290400000000000e+02
42          ,  1.922420330482679e+02,  1.987999384117944e+02,  1.712531235360000e+01,  4.470000000000000e+02
118         ,  5.345461156622450e+01,  4.863240345518269e+01,  7.366502603600000e+00,  2.284800000000000e+02
127         ,  1.258768321724361e+02,  1.374920495545824e+02,  1.487225924100000e+01,  3.153600000000000e+02
96          ,  9.458888504929534e+01,  9.644521936059367e+01,  8.945038875800002e+00,  3.355200000000000e+02
60          ,  6.700355961656858e+01,  6.168274159577757e+01,  7.892681361000001e+00,  2.553600000000000e+02
0           ,  1.324521624992106e+02,  1.292147186094282e+02,  1.150732982160000e+01,  3.726000000000000e+02
84          ,  1.874396857101914e+02,  1.881647174501796e+02,  1.536856120800000e+01,  4.576400000000000e+02
28          ,  9.362157646373184e+01,  9.325103470829912e+01,  8.063069187000000e+00,  3.474000000000000e+02
40          ,  1.876581343779474e+02,  1.892069679273967e+02,  1.604819799880000e+01,  4.441600000000001e+02
86          ,  6.540869502383295e+01,  6.575630365334146e+01,  8.418860118400001e+00,  2.548800000000000e+02
24          ,  9.809953691058023e+01,  1.008234757203864e+02,  8.418860118400001e+00,  3.617599999999999e+02
67          ,  1.178407975639319e+02,  1.175744455439078e+02,  1.010869375320000e+01,  3.714000000000000e+02
44          ,  1.408716465187509e+02,  1.399805877528441e+02,  1.179347604540000e+01,  3.984000000000000e+02
15          ,  1.304908476901080e+02,  1.175011846702618e+02,  9.928211353200000e+00,  3.756000000000000e+02
39          ,  6.690965549992833e+01,  6.418143065631848e+01,  8.418860118400001e+00,  2.500800000000000e+02
22          ,  8.942508557141944e+01,  8.702638799522036e+01,  9.138145078600001e+00,  3.020800000000000e+02
68          ,  1.728438327749059e+02,  1.504523685152608e+02,  1.289990697480000e+01,  4.032000000000000e+02
80          ,  1.635560662373134e+02,  1.708634867099406e+02,  1.470381032760000e+01,  4.211999999999999e+02
140         ,  9.231264108905833e+01,  9.206987996053185e+01,  8.063069187000000e+00,  3.438000000000000e+02
47          ,  5.673059181818780e+01,  5.601319880649485e+01,  7.892681361000001e+00,  2.380800000000000e+02
30          ,  1.575095787725395e+02,  1.451891230537271e+02,  1.244121621600000e+01,  3.984000000000000e+02
112         ,  7.423809586689029e+01,  7.516332616608763e+01,  9.471217633200002e+00,  2.577600000000000e+02
76          ,  6.221586353440775e+01,  6.530555016938119e+01,  7.525531241199999e+00,  2.754000000000000e+02
137         ,  2.091771198782973e+02,  1.908868324575545e+02,  1.604819799880000e+01,  4.492800000000000e+02
33          ,  9.639831336185570e+01,  8.615559506345578e+01,  8.600607132800000e+00,  3.126000000000000e+02
81          ,  6.779890223639997e+01,  7.298305602986818e+01,  7.525531241199999e+00,  2.988000000000000e+02
62          ,  1.284855607921225e+02,  1.394077787086290e+02,  1.216291055900000e+01,  3.876000000000000e+02
139         ,  7.773399964038569e+01,  7.439193056894895e+01,  8.063069187000000e+00,  2.899200000000000e+02
135         ,  8.871171279800387e+01,  8.242378285376614e+01,  8.063069187000000e+00,  3.144000000000000e+02
53          ,  1.912036606685361e+02,  1.996922754826508e+02,  1.677766154420000e+01,  4.582400000000000e+02
85          ,  6.604743166171670e+01,  7.436958106050326e+01,  6.987993295400001e+00,  3.162000000000000e+02
109         ,  1.156360400954843e+02,  1.189615507932631e+02,  9.675683024400001e+00,  3.862400000000000e+02
49          ,  7.517971112473752e+01,  7.584063098287638e+01,  8.945038875800002e+00,  2.727200000000000e+02
35          ,  1.142981641844795e+02,  1.137467331780435e+02,  9.138145078600001e+00,  3.835200000000000e+02
34          ,  6.288448403712296e+01,  6.951489111150076e+01,  8.945038875800002e+00,  2.534400000000000e+02
131         ,  7.332445965687805e+01,  8.282256793634492e+01,  8.945038875800002e+00,  2.940000000000000e+02
7           ,  6.154031610112789e+01,  5.821802100232701e+01,  7.892681361000001e+00,  2.448000000000000e+02
43          ,  9.003176998171779e+01,  9.658061751049308e+01,  9.138145078600001e+00,  3.312000000000000e+02
70          ,  5.876522370994315e+01,  5.270596551274660e+01,  7.892681361000001e+00,  2.280000000000000e+02
89          ,  1.845971359160373e+02,  1.626593994356893e+02,  1.385980736260000e+01,  4.168800000000001e+02
123         ,  2.218543389191891e+02,  2.156075788641798e+02,  1.719987596640000e+01,  4.964000000000000e+02
129         ,  7.058438955216727e+01,  8.045519160748742e+01,  8.063069187000000e+00,  3.084000000000000e+02
8           ,  1.379771288780131e+02,  1.242946846514696e+02,  1.028342668160000e+01,  3.876000000000000e+02
13          ,  6.359044555550145e+01,  5.099471295071717e+01,  7.366502603600000e+00,  2.356800000000000e+02
108         ,  2.276117669121919e+02,  2.262786707587997e+02,  1.791653746500000e+01,  5.113600000000000e+02
3           ,  1.766257549836612e+02,  1.793323047252091e+02,  1.536856120800000e+01,  4.307200000000000e+02
38          ,  2.142336089710759e+02,  2.224853600175732e+02,  1.838815620960000e+01,  4.882400000000000e+02
120         ,  2.717063705144595e+02,  2.596579396582458e+02,  2.295549442680000e+01,  4.896000000000000e+02
101         ,  6.465769186928596e+01,  6.431274338800191e+01,  8.063069187000000e+00,  2.592000000000000e+02
2           ,  5.771548700058894e+01,  5.790304640292241e+01,  7.892681361000001e+00,  2.438400000000000e+02
122         ,  2.014000729838491e+02,  2.065299400388488e+02,  1.712531235360000e+01,  4.705599999999999e+02
54          ,  8.998190321387162e+01,  8.499146263216841e+01,  7.525531241199999e+00,  3.354000000000000e+02
50          ,  1.144884087492389e+02,  1.103025905988902e+02,  9.547099655800000e+00,  3.630000000000000e+02
104         ,  1.531720861969143e+02,  1.493880019024812e+02,  1.218324547620000e+01,  4.175200000000000e+02
46          ,  6.638274984747244e+01,  7.751081589630927e+01,  7.525531241199999e+00,  3.126000000000000e+02
105         ,  6.260542136940490e+01,  6.557921140905449e+01,  1.109961138240000e+01,  1.886400000000000e+02
61          ,  1.513414191693852e+02,  1.566875681349327e+02,  1.361656847340000e+01,  4.046400000000000e+02
141         ,  5.908637035915022e+01,  4.957732725339649e+01,  7.366502603600000e+00,  2.313600000000000e+02
79          ,  6.172344219415545e+01,  6.026535589845690e+01,  7.892681361000001e+00,  2.510400000000000e+02
41          ,  8.588925575648324e+01,  8.792732718510662e+01,  8.600607132800000e+00,  3.180000000000000e+02
58          ,  2.413589823761019e+02,  2.422736236222521e+02,  2.113630162000000e+01,  4.812000000000000e+02
90          ,  1.323141358213091e+02,  1.367268385252581e+02,  1.278592202400000e+01,  3.641600000000001e+02
88          ,  1.252802886728060e+02,  1.308986317636117e+02,  1.144744523200000e+01,  3.792000000000000e+02
126         ,  7.603223118739854e+01,  7.124725140822603e+01,  8.945038875800002e+00,  2.587200000000000e+02
21          ,  7.298106977000764e+01,  7.970420997417054e+01,  9.471217633200002e+00,  2.716000000000000e+02
57          ,  1.280373015126955e+02,  1.103099561000244e+02,  9.376644055800000e+00,  3.672000000000000e+02
75          ,  9.416246053996997e+01,  9.815549050751605e+01,  9.138145078600001e+00,  3.360000000000000e+02
32          ,  2.470528593513509e+02,  2.559133350555718e+02,  2.107477092240000e+01,  5.242800000000000e+02
138         ,  6.719447744045841e+01,  7.337677427912395e+01,  7.525531241199999e+00,  3.000000000000000e+02
59          ,  7.370978119031361e+01,  8.163634635525464e+01,  8.063069187000000e+00,  3.120000000000000e+02
63          ,  9.527186437700378e+01,  9.071882837998442e+01,  9.675683024400001e+00,  3.001600000000000e+02
37          ,  6.740982957627959e+01,  6.872745461298928e+01,  8.945038875800002e+00,  2.510400000000000e+02
29          ,  7.604393505755419e+01,  7.475478815151907e+01,  7.525531241199999e+00,  3.042000000000000e+02
107         ,  5.684900711217347e+01,  4.800245425637350e+01,  7.366502603600000e+00,  2.265600000000000e+02
134         ,  2.189143114936079e+02,  2.078153358278967e+02,  1.790373564240000e+01,  4.554000000000000e+02
1           ,  6.589429488532184e+01,  6.651823218958575e+01,  1.112825526120000e+01,  1.908000000000000e+02
52          ,  1.685536482338435e+02,  1.689453296284281e+02,  1.361656847340000e+01,  4.420000000000000e+02
130         ,  7.583037174302696e+01,  8.478609234930059e+01,  8.063069187000000e+00,  3.216000000000000e+02
99          ,  1.103591846419842e+02,  1.115071519406877e+02,  9.675683024400001e+00,  3.635200000000000e+02
116         ,  6.928383831454539e+01,  7.901155802688302e+01,  8.063069187000000e+00,  3.040000000000000e+02
121         ,  7.759315330331438e+01,  7.913428628506166e+01,  8.600607132800000e+00,  2.912000000000000e+02
20          ,  1.126975075036733e+02,  1.078015876142818e+02,  9.138145078600001e+00,  3.654000000000000e+02
106         ,  2.038799354056747e+02,  2.109276681433043e+02,  1.812268194240000e+01,  4.595200000000000e+02
14          ,  1.651217664757107e+02,  1.819157076734970e+02,  1.558864569240000e+01,  4.331999999999999e+02
92          ,  7.315017953780705e+01,  6.670122745155524e+01,  8.418860118400001e+00,  2.577600000000000e+02
