Descriptor,XGB_Importance
ave:atomic_radius_rahm,0.4844311773777008
ave:vdw_radius_uff,0.2743323743343353
sum:sound_velocity,0.062403880059719086
ave:en_ghosh,0.038727179169654846
sum:covalent_radius_pyykko_triple,0.021015485748648643
var:melting_point,0.012521043419837952
ave:melting_point,0.010968859307467937
sum:covalent_radius_cordero,0.009638132527470589
var:gs_energy,0.007384133525192738
var:covalent_radius_pyykko_triple,0.006851894315332174
min:atomic_volume,0.00682764733210206
ave:heat_capacity_molar,0.006780072581022978
max:sound_velocity,0.006743445992469788
var:num_p_valence,0.005588707514107227
var:atomic_number,0.005456340964883566
ave:covalent_radius_pyykko_triple,0.0036657413002103567
sum:icsd_volume,0.0034252486657351255
ave:first_ion_en,0.002891675103455782
sum:thermal_conductivity,0.002572478260844946
var:fusion_enthalpy,0.00240594451315701
sum:hhi_p,0.002223468152806163
var:heat_capacity_molar,0.0021218210458755493
sum:atomic_number,0.0017714293207973242
ave:gs_est_bcc_latcnt,0.001720915548503399
var:density,0.0016749593196436763
ave:dipole_polarizability,0.0016097234329208732
ave:hhi_r,0.0015682558296248317
ave:atomic_radius,0.0013986623380333185
ave:heat_capacity_mass,0.0012474108953028917
var:electron_negativity,0.0011366168037056923
var:vdw_radius_uff,0.0009467208292335272
sum:heat_of_formation,0.0009396759560331702
var:atomic_radius,0.0008486464503221214
ave:bulk_modulus,0.0008365006069652736
var:first_ion_en,0.0005889395251870155
max:lattice_constant,0.0005130944773554802
ave:boiling_point,0.0005016367067582905
ave:density,0.000496000749990344
var:en_allen,0.0004102230304852128
var:heat_of_formation,0.00040236278437078
sum:lattice_constant,0.00029546802397817373
ave:electron_negativity,0.00029130635084584355
sum:density,0.00020116238738410175
sum:c6_gb,0.00019695473019964993
var:hhi_p,0.00018422826542519033
sum:heat_capacity_mass,0.00012186368985567242
ave:fusion_enthalpy,0.0001117744468501769
var:electron_affinity,0.00010791623208206147
ave:thermal_conductivity,0.00010731051588663831
sum:heat_capacity_molar,0.00010637887316988781
var:boiling_point,9.678667265689e-05
ave:Polarizability,9.169262193609029e-05
ave:en_allen,6.145086081232876e-05
ave:atomic_number,5.681598122464493e-05
sum:atomic_volume,5.326601967681199e-05
var:heat_capacity_mass,4.031159187434241e-05
ave:gs_mag_moment,3.961356560466811e-05
ave:gs_energy,3.534982897690497e-05
var:thermal_conductivity,3.311400723760016e-05
ave:electron_affinity,3.293170084361918e-05
sum:bulk_modulus,2.773437518044375e-05
